"","tag_code","hatchery","brood_year","total_cwt_rel","avg_weight","release_site","first_release_date","total_cwt_estimated","total_raw_tags","relative_sar"
"1","090198","BONNEVILLE HATCHERY",2008,163683,4.12,"TANNER CR (BNVILLE)",2009-05-15,276.1,237,0.0016868
"2","090326","BONNEVILLE HATCHERY",2009,169767,5.57,"TANNER CR (BNVILLE)",2010-05-03,271.15,233,0.0015972
"3","090486","BONNEVILLE HATCHERY",2010,170842,5.65,"TANNER CR (BNVILLE)",2011-05-25,270.21,217,0.0015816
"4","090571","BONNEVILLE HATCHERY",2011,171083,4.54,"TANNER CR (BNVILLE)",2012-05-18,571.76,457,0.003342
"5","090568","BONNEVILLE HATCHERY",2012,168873,5.29,"TANNER CR (BNVILLE)",2013-05-17,541.58,464,0.003207
"6","055430","BONNEVILLE HATCHERY",2013,105582,5.95,"TANNER CR (BNVILLE)",2014-05-16,73.33,68,0.0006945
"7","055476","BONNEVILLE HATCHERY",2013,100470,5.44,"TANNER CR (BNVILLE)",2014-05-16,77.36,64,0.00077
"8","090864","BONNEVILLE HATCHERY",2013,164113,5.28,"TANNER CR (BNVILLE)",2014-05-16,45.39,39,0.0002766
"9","090922","BONNEVILLE HATCHERY",2014,150734,5.87,"TANNER CR (BNVILLE)",2015-04-20,581.32,477,0.0038566
"10","090947","BONNEVILLE HATCHERY",2014,43726,21.91,"TANNER CR (BNVILLE)",2015-10-06,21.26,9,0.0004862
"11","090948","BONNEVILLE HATCHERY",2014,26210,44.91,"TANNER CR (BNVILLE)",2016-02-26,7,7,0.0002671
"12","091009","BONNEVILLE HATCHERY",2015,160298,5.82,"TANNER CR (BNVILLE)",2016-04-15,239.49,208,0.001494
"13","091034","BONNEVILLE HATCHERY",2015,16805,45.36,"TANNER CR (BNVILLE)",2017-03-21,3,3,0.0001785
"14","091037","BONNEVILLE HATCHERY",2015,42916,22.13,"TANNER CR (BNVILLE)",2016-09-29,1,1,2.33e-05
"15","091137","BONNEVILLE HATCHERY",2016,167037,5.71,"TANNER CR (BNVILLE)",2017-05-01,154.93,143,0.0009275
"16","091169","BONNEVILLE HATCHERY",2016,54119,17.75,"TANNER CR (BNVILLE)",2017-09-05,1,1,1.85e-05
