fishery, fishery_name, fishery_short_name
"10","Ocean Troll (non-treaty)","Ocean Troll (non-treaty)"
"11","Ocean Troll - Day Boat","Ocean Troll - Day Boat"
"12","Ocean Troll - Trip Boat","Ocean Troll - Trip Boat"
"13","Ocean Troll - Freezer Boat","Ocean Troll - Freezer"
"14","Ocean Troll - Ice Boat","Ocean Troll - Ice Boat"
"15","Treaty Troll","Treaty Troll"
"16","Terminal Troll","Terminal Troll"
"17","Ocean Troll (treaty & non-treaty)","Ocean Troll(Treat/Non-Tr)"
"18","Aboriginal Troll","Aboriginal Troll"
"19","Other","Other"
"20","Ocean Gillnet (non-treaty)","Ocean Gillnet non-treaty"
"21","Columbia River Gillnet","Columbia River Gillnet"
"22","Coastal Gillnet","Coastal Gillnet"
"23","Mixed Net and Seine","Mixed Net and Seine"
"24","Freshwater Net","Freshwater Net"
"25","Commercial Seine","Commercial Seine"
"26","Terminal Seine","Terminal Seine"
"27","Freshwater Seine","Freshwater Seine"
"28","Other Net","Other Net"
"29","Other Seine","Other Seine"
"30","Aboriginal Seine","Aboriginal Seine"
"31","Aboriginal Gillnet","Aboriginal Gillnet"
"32","Aboriginal Mixed Net","Aboriginal Mixed Net"
"33","Aboriginal Subsistence Net","Aboriginal Subst Net"
"34","Aboriginal Angler","Aboriginal Angler"
"39","Other Aboriginal","Other Aboriginal"
"40","Ocean Sport","Ocean Sport"
"41","Sport (charter)","Sport (charter)"
"42","Sport (private)","Sport (private)"
"43","Sport (jetty)","Sport (jetty)"
"44","Columbia River Sport","Columbia River Sport"
"45","Estuary Sport","Estuary Sport"
"46","Freshwater Sport","Freshwater Sport"
"47","Freshwater Sport Snag","Freshwater Sport Snag"
"48","Terminal Sport","Terminal Sport"
"49","Other","Other"
"50","Hatchery","Hatchery"
"51","Fish Screens","Fish Screens"
"52","Fish Trap (freshwater)","Fish Trap (freshwater)"
"53","Wild Broodstock Collection","Wild Brdstock Collection"
"54","Spawning Ground","Spawning Ground"
"55","Treaty Ceremonial","Treaty Ceremonial"
"56","Treaty Subsistence","Treaty Subsistence"
"57","Mixed Wild Broodstock and Hatchery Returns","Mixed: Wild Brdstk+Hatch"
"59","Other","Other"
"60","Test Fishery Troll","Test Fishery Troll"
"61","Test Fishery Net","Test Fishery Net"
"62","Test Fishery Seine","Test Fishery Seine"
"63","Test Fishery Trap","Test Fishery Trap"
"64","Test Fishery Unknown Multiple Gear","Test Fishery Unkn Mult Gr"
"65","Dead Fish Survey","Dead Fish Survey"
"69","Other","Other"
"70","Juvenile Sampling - Troll (marine)","Juv Sampling - Troll(mar)"
"71","Juvenile Sampling - Gillnet (marine)","Juv Samp - Gillnet (mar)"
"72","Juvenile Sampling - Seine (marine)","Juv Sampling - Seine(mar)"
"73","Juvenile Sampling - Seine (freshwater)","Juv Sampling - Seine(fw)"
"74","Juvenile Sampling - Trawl (marine)","Juv Sampling - Trawl(mar)"
"75","Juvenile Sampling - Trawl (freshwater)","Juv Sampling - Trawl(fw)"
"79","Other","Other"
"80","Hake Trawl Fishery, At-Sea component (CA/OR/WA)","Hake Trawl, At-Sea"
"800","Hake Trawl Fishery, Shoreside component (OR/WA)","Hake Trawl, Shoreside"
"802","Limited-Entry Rockfish Trawl (CA/OR/WA)","Limited-Entry Rockfish Tr"
"803","Limited-Entry Non-Hake Groundfish Trawl (CA/OR/WA)","Trawl (CA/OR/WA)"
"804","Limited-Entry Sablefish Fixed Gear (CA/OR/WA)","Limited-Entry Sablefish F"
"805","State-Permitted Nearshore Grndfish Fishery (CA/OR)","State-Permitted Nearshore"
"81","Groundfish Observer (Gulf of Alaska)","Groundfish Obs (Gulf AK)"
"812","Rockfish Fishery (Gulf of Alaska)","Rockfish (Gulf AK)"
"82","Groundfish Observer (Bering Sea/Aleutians)","Grdfish Obs (Ber/Aleuts)"
"83","Foreign Research Vessels","Foreign Research Vessels"
"84","Foreign Mothership Vessels","Foreign Mothership Vessel"
"85","Ocean Trawl By-Catch","Ocean Trawl By-Catch"
"86","Land Based Salmon","Land Based Salmon"
"87","Squid Gillnet By-Catch","Squid Gillnet By-Catch"
"88","Juvenile Sampling - trawl","Juvenile Sampling - trawl"
"89","Other","Other"
"90","Multiple Gear","Multiple Gear"
"91","PNP Cost Recovery","PNP Cost Recovery"
"92","Columbia River Shad","Columbia River Shad"
"93","Set-Line (Sturgeon)","Set-Line (Sturgeon)"
"94","Fish Trap (marine)","Fish Trap (marine)"
"95","Confiscated","Confiscated"
"99","Other","Other"
