"","id","record_code","format_version","submission_date","reporting_agency","release_agency","tag_code_or_release_id","tag_type","first_sequential_number","last_sequential_number","related_group_type","related_group_id","species","run","brood_year","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","first_release_date_year","first_release_date_month","first_release_date_day","last_release_date_year","last_release_date_month","last_release_date_day"
"266","7672f1b9-03e3-486f-bed4-33f4feef2a9c","N","5.0","20260809","WDFW","WDFW","!04P00015837",NA,NA,NA,NA,NA,"1","1",2011,"3F42001^^270168^R01","3F42001^^270430^H","3F42001^^270168^S",NA,"H",NA,"FR",19.72,113,NA,NA,NA,NA,NA,"0000",15440,NA,NA,NA,NA,NA,NA,NA,"HAULED AND PLANTED BY PP&L.  PLANTED INTO CRAB CREEK. 100% UNMARKED FROM HATCHERY BROOD.",2012,10,19,2012,10,19
"3","019aa7ea-8291-4f2d-9075-971b25b32a42","N","5.0","20260809","WDFW","WDFW","!04P00085359",NA,NA,NA,NA,NA,"1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S",NA,"H",NA,"FR",20.61,124,NA,NA,NA,NA,NA,"5000",122762,"0000",1102,NA,NA,NA,NA,NA,NA,2015,8,3,2015,8,3
"39","2969dadb-c4ec-41fc-a543-29ff52383862","T","5.0","20260809","WDFW","WDFW","633410","0",NA,NA,NA,NA,"1","3",1984,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S","S","H","E",NA,22.67,124,"N","5000",49661,NA,NA,"0000",31020,"5000",552,"B",NA,29,1741,NA,NA,1985,10,8,1985,10,8
"71","47618390-c70c-4a5e-b09d-c17eacab3a4c","T","5.0","20260809","WDFW","WDFW","633409","0",NA,NA,NA,NA,"1","3",1984,"3F42001^^270168^R","3F42001^^270168^H","3F42001^^270168^S","S","H","E",NA,22.67,124,"N","5000",51572,NA,NA,"0000",31021,"5000",574,"B",NA,29,1741,NA,NA,1985,10,8,1985,10,8
"204","cd17aec9-dc7d-490b-96b9-8cda0d27d547","N","5.0","20260809","WDFW","WDFW","!04P00085356",NA,NA,NA,NA,NA,"1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S",NA,"H",NA,"FR",22.34,126,NA,NA,NA,NA,NA,"5000",136712,"0000",1228,NA,NA,NA,NA,NA,NA,2015,8,3,2015,8,3
"59","3f43a0bb-d648-4d10-9774-b60f74146cb0","N","5.0","20260809","WDFW","WDFW","!04P00085353",NA,NA,NA,NA,NA,"1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S",NA,"H",NA,"FR",22.45,128,NA,NA,NA,NA,NA,"5000",143105,"0000",1285,NA,NA,NA,NA,NA,NA,2015,8,3,2015,8,3
"273","d57e600d-fd85-4a72-80c7-0c27f1e59292","N","5.0","20260809","WDFW","WDFW","!04P00131679",NA,NA,NA,NA,NA,"1","1",2017,"3F42001^^270168^R01","3F42001^^270430^H","3F42001^^270168^S","Y","H",NA,"FR",32.39,137,NA,NA,NA,NA,NA,"0000",29690,NA,NA,NA,NA,NA,NA,NA,"BO=MIXED(HxW) FISH WERE HAULED TO STRESS RELIEF RACEWAYS IN WOODLAND.",2018,11,1,2018,11,1
"264","5506e104-4786-4478-ac7e-1420d1bef8d8","N","5.0","20260809","WDFW","WDFW","!04P00131744",NA,NA,NA,NA,NA,"1","1",2017,"3F42001^^270168^R01","3F42001^^270430^H","3F42001^^270168^S","Y","H",NA,"FR",32.63,139,NA,NA,NA,NA,NA,"0001",29612,"0000",1068,NA,NA,NA,NA,NA,"BO=MIXED(HxW)",2018,11,15,2018,11,15
"90","59007528-5399-4cab-a81e-61dbf1aaaf4a","N","5.0","20260809","WDFW","WDFW","!04P00211989",NA,NA,NA,NA,NA,"1","1",2022,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H",NA,"VO",36.28,141,NA,NA,NA,NA,NA,"5000",91458,"0000",784,NA,NA,NA,NA,NA,NA,2024,2,5,2024,2,13
"117","78f8606b-8efb-4ffe-bec3-9c3cd8223786","T","5.0","20260809","WDFW","WDFW","638525","12",NA,NA,"D","04202400001192","1","1",2022,"3F42001^^270168^R01","3F42001^^270168^H","3F42001^^270168^S04","Y","H","P","VO",36.28,141,NA,"0000",35172,NA,NA,"0000",255,NA,NA,NA,0.0072,NA,554,NA,NA,2024,2,5,2024,2,13
