"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",2014,"3","3F42001^^260002^R","3F42001^^260002^H02",5,131,10,"smolt",100505,12.2,0.000121386995671857,100492.8
"2","1",2000,"3","3F42001^^260002^R","3F42001^^260002^H02",5,143,10,"smolt",200124,37.55,0.000187633667126382,200086.45
"3","1",2014,"3","3F42001^^260002^R","3F42001^^260002^H02",5,147,10,"smolt",1099027,276.72,0.000251786352837555,1098750.28
"4","1",2015,"3","3F42001^^260002^R","3F42001^^260002^H02",5,147,10,"smolt",84324,19.11,0.000226625871637968,84304.89
"5","1",2021,"3","3F42001^^260002^R","3F42001^^260002^H02",5,151,10,"smolt",126391,52.92,0.000418700698625693,126338.08
"6","1",2010,"3","3F42001^^260002^R","3F42001^^260002^H02",6,152,10,"smolt",203636,649.83,0.00319113516274136,202986.17
"7","1",2017,"3","3F42001^^260002^R","3F42001^^260002^H02",6,152,10,"smolt",1398413,1355.84,0.000969556204068469,1397057.16
"8","1",2002,"3","3F42001^^260002^R","3F42001^^260002^H02",6,153,10,"smolt",200134,53.59,0.00026777059370222,200080.41
"9","1",2018,"3","3F42001^^260002^R","3F42001^^260002^H02",6,154,10,"smolt",1638263,661.89,0.000404019379061848,1637601.11
"10","1",2008,"3","3F42001^^260002^R","3F42001^^260002^H02",6,155,10,"smolt",201327,510.76,0.00253696722247885,200816.24
"11","1",2017,"3","3F42001^^260002^R","3F42001^^260002^H02",6,155,10,"smolt",100804,97.08,0.000963057021546764,100706.92
"12","1",2019,"3","3F42001^^260002^R","3F42001^^260002^H02",6,155,10,"smolt",124770,48.78,0.000390959365232027,124721.22
"13","1",2001,"3","3F42001^^260002^R","3F42001^^260002^H02",6,156,10,"smolt",209732,113.48,0.000541071462628497,209618.52
"14","1",2017,"1","3F42001^^260002^R","3F42001^^260002^H02",6,157,10,"smolt",60002,16.45,0.000274157528082397,59985.55
"15","1",2003,"3","3F42001^^260002^R","3F42001^^260002^H02",6,158,10,"smolt",198549,53.9,0.000271469511304514,198495.1
"16","1",2020,"3","3F42001^^260002^R","3F42001^^260002^H02",6,158,10,"smolt",117578,58,0.000493289560972291,117520
"17","1",2011,"3","3F42001^^260002^R","3F42001^^260002^H02",6,159,10,"smolt",200966,106.31,0.000528994954370391,200859.69
"18","1",2009,"3","3F42001^^260002^R","3F42001^^260002^H02",6,161,10,"smolt",197505,418.4,0.00211842738158528,197086.6
"19","1",2012,"3","3F42001^^260002^R","3F42001^^260002^H02",6,161,10,"smolt",200131,236.74,0.00118292518400448,199894.26
"20","1",2013,"3","3F42001^^260002^R","3F42001^^260002^H02",6,164,10,"smolt",1097473,251.08,0.000228780115775058,1097221.92
"21","1",2016,"3","3F42001^^260002^R","3F42001^^260002^H02",6,164,10,"smolt",101357,15.01,0.00014809041309431,101341.99
"22","1",2004,"3","3F42001^^260002^R","3F42001^^260002^H02",6,166,10,"smolt",194734,52.81,0.00027119044440108,194681.19
"23","1",2015,"3","3F42001^^260002^R","3F42001^^260002^H02",6,167,10,"smolt",1093023,300.28,0.00027472431961633,1092722.72
"24","1",2005,"3","3F42001^^260002^R","3F42001^^260002^H02",6,170,10,"smolt",178376,161.55,0.000905671166524645,178214.45
"25","1",2006,"3","3F42001^^260002^R","3F42001^^260002^H02",6,170,10,"smolt",202114,357.47,0.00176865531333802,201756.53
"26","1",2007,"3","3F42001^^260002^R","3F42001^^260002^H02",6,170,10,"smolt",202953,1222.13,0.00602173902332067,201730.87
"27","1",2016,"3","3F42001^^260002^R","3F42001^^260002^H02",6,171,10,"smolt",995614,819.12,0.000822728487144616,994794.88
"28","1",2013,"3","3F42001^^260002^R","3F42001^^260002^H02",6,180,10,"smolt",102600,48.45,0.000472222222222222,102551.55
"29","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,30,"smolt",21952,124.15,0.00565552113702624,21827.85
"30","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,30,"smolt",189290,1125.54,0.00594611442759787,188164.46
"31","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,30,"smolt",126319,166.97,0.0013218122372723,126152.03
"32","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,30,"smolt",44181,315.86,0.00714922704329916,43865.14
"33","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,30,"smolt",125229,171.92,0.00137284494805516,125057.08
"34","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,30,"smolt",117965,37.38,0.000316873648963676,117927.62
"35","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",7,212,30,"smolt",57849,58.26,0.00100710470362495,57790.74
"36","1",2014,"1","3F42001^^260002^R","3F42001^^260002^H02",10,301,30,"smolt",98431,27.1,0.000275319767146529,98403.9
"37","1",2015,"1","3F42001^^260002^R","3F42001^^260002^H02",10,302,30,"smolt",93643,6.03,6.43934944416561e-05,93636.97
