"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",2014,"3","3F42001^^260002^R","3F42001^^260002^H02",5,131,10,"smolt",201010,11,5.47236455897717e-05,200999
"2","1",2000,"3","3F42001^^260002^R","3F42001^^260002^H02",5,143,10,"smolt",800496,37.55,4.69084167815954e-05,800458.45
"3","1",2014,"3","3F42001^^260002^R","3F42001^^260002^H02",5,147,10,"smolt",3088453,259.04,8.38737063507199e-05,3088193.96
"4","1",2015,"3","3F42001^^260002^R","3F42001^^260002^H02",5,147,10,"smolt",168648,18.11,0.000107383425833689,168629.89
"5","1",2021,"3","3F42001^^260002^R","3F42001^^260002^H02",5,151,10,"smolt",189618,48.92,0.000257992384689217,189569.08
"6","1",2010,"3","3F42001^^260002^R","3F42001^^260002^H02",6,152,10,"smolt",814544,612.03,0.000751377457816889,813931.97
"7","1",2017,"3","3F42001^^260002^R","3F42001^^260002^H02",6,152,10,"smolt",4761245,1247.81,0.000262076410686701,4759997.19
"8","1",2002,"3","3F42001^^260002^R","3F42001^^260002^H02",6,153,10,"smolt",600402,51.57,8.58924520571217e-05,600350.43
"9","1",2018,"3","3F42001^^260002^R","3F42001^^260002^H02",6,154,10,"smolt",4914789,569.84,0.000115943939811048,4914219.16
"10","1",2008,"3","3F42001^^260002^R","3F42001^^260002^H02",6,155,10,"smolt",603981,475.61,0.00078745854588141,603505.39
"11","1",2017,"3","3F42001^^260002^R","3F42001^^260002^H02",6,155,10,"smolt",302412,90.08,0.000297871777574964,302321.92
"12","1",2019,"3","3F42001^^260002^R","3F42001^^260002^H02",6,155,10,"smolt",353309,45.78,0.000129574961294504,353263.22
"13","1",2001,"3","3F42001^^260002^R","3F42001^^260002^H02",6,156,10,"smolt",629196,112.48,0.000178767824334548,629083.52
"14","1",2017,"1","3F42001^^260002^R","3F42001^^260002^H02",6,157,10,"smolt",180006,16.45,9.13858426941324e-05,179989.55
"15","1",2003,"3","3F42001^^260002^R","3F42001^^260002^H02",6,158,10,"smolt",595647,47.89,8.0399968437682e-05,595599.11
"16","1",2020,"3","3F42001^^260002^R","3F42001^^260002^H02",6,158,10,"smolt",274617,57,0.000207561804258294,274560
"17","1",2011,"3","3F42001^^260002^R","3F42001^^260002^H02",6,159,10,"smolt",602898,88.33,0.000146509028061131,602809.67
"18","1",2009,"3","3F42001^^260002^R","3F42001^^260002^H02",6,161,10,"smolt",592515,364.31,0.000614853632397492,592150.69
"19","1",2012,"3","3F42001^^260002^R","3F42001^^260002^H02",6,161,10,"smolt",600393,207.14,0.00034500735351678,600185.86
"20","1",2013,"3","3F42001^^260002^R","3F42001^^260002^H02",6,164,10,"smolt",2632453,223.99,8.50879388919764e-05,2632229.01
"21","1",2016,"3","3F42001^^260002^R","3F42001^^260002^H02",6,164,10,"smolt",202714,14.01,6.91121481496098e-05,202699.99
"22","1",2004,"3","3F42001^^260002^R","3F42001^^260002^H02",6,166,10,"smolt",389468,38.78,9.95717234792075e-05,389429.22
"23","1",2015,"3","3F42001^^260002^R","3F42001^^260002^H02",6,167,10,"smolt",3279069,278.28,8.4865551777044e-05,3278790.72
"24","1",2005,"3","3F42001^^260002^R","3F42001^^260002^H02",6,170,10,"smolt",535128,135.46,0.000253135698374968,534992.54
"25","1",2006,"3","3F42001^^260002^R","3F42001^^260002^H02",6,170,10,"smolt",606342,305.29,0.000503494727398069,606036.71
"26","1",2007,"3","3F42001^^260002^R","3F42001^^260002^H02",6,170,10,"smolt",811812,1154.41,0.00142201642744872,810657.59
"27","1",2016,"3","3F42001^^260002^R","3F42001^^260002^H02",6,171,10,"smolt",3982456,729.12,0.000183083002046978,3981726.88
"28","1",2013,"3","3F42001^^260002^R","3F42001^^260002^H02",6,180,10,"smolt",205200,37.74,0.000183918128654971,205162.26
"29","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",3,62,30,"smolt",87808,124.15,0.00141388028425656,87683.85
"30","1",2000,"1","3F42001^^260002^R","3F42001^^260002^H02",3,63,30,"smolt",757160,1115.54,0.00147332135876169,756044.46
"31","1",2002,"1","3F42001^^260002^R","3F42001^^260002^H02",3,89,30,"smolt",454556,165.32,0.000363695562262955,454390.68
"32","1",2001,"1","3F42001^^260002^R","3F42001^^260002^H02",4,91,30,"smolt",154747,314.86,0.00203467595494581,154432.14
"33","1",2004,"1","3F42001^^260002^R","3F42001^^260002^H02",4,93,30,"smolt",375687,168.86,0.000449469904468347,375518.14
"34","1",2003,"1","3F42001^^260002^R","3F42001^^260002^H02",4,94,30,"smolt",281158,37.38,0.000132950156139964,281120.62
"35","1",2018,"1","3F42001^^260002^R","3F42001^^260002^H02",7,212,30,"smolt",173547,57.25,0.000329881818758031,173489.75
