"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",2015,"1","3F42001^^270168^R01","3F42001^^270430^H",10,279,30,"smolt",235002,39.31,0.000167275172126195,234962.69
"2","1",2017,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt",186455,60.3,0.00032340242954064,186394.7
"3","1",2021,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt",128990,169,0.0013101790836499,128821
"4","1",2020,"1","3F42001^^270168^R01","3F42001^^270168^H",2,33,40,"smolt",221535,91,0.000410770307174939,221444
"5","1",2013,"1","3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt",330444,310.05,0.000938283037367905,330133.95
"6","1",2019,"1","3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt",139926,97.54,0.000697082743735975,139828.46
"7","1",2018,"1","3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt",249375,309.62,0.00124158395989975,249065.38
"8","1",2014,"1","3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt",437892,343.56,0.000784577018990984,437548.44
"9","1",2020,"1","3F42001^^270168^R","3F42001^^270168^H",10,274,40,"smolt",227115,144.02,0.000634128084890914,226970.98
"10","1",2013,"1","3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt",254549,134.01,0.00052646052429984,254414.99
"11","1",2018,"1","3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt",231567,137.29,0.000592873768714886,231429.71
"12","1",2015,"1","3F42001^^270168^R01","3F42001^^270168^H",10,275,40,"smolt",368667,80.57,0.000218544106198819,368586.43
"13","1",2016,"1","3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt",883476,1119.65,0.00126732361716674,882356.35
"14","1",2021,"1","3F42001^^270168^R01","3F42001^^270168^H",10,285,40,"smolt",144752,103,0.000711561843705096,144649
"15","1",2017,"1","3F42001^^270168^R01","3F42001^^270168^H",10,290,40,"smolt",226926,231.55,0.00102037668667319,226694.45
"16","1",2019,"1","3F42001^^270168^R01","3F42001^^270168^H",10,295,40,"smolt",297188,77.48,0.00026071039207505,297110.52
"17","1",2021,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,50,"smolt",96881,95,0.000980584428319278,96786
"18","1",2020,"1","3F42001^^270168^R01","3F42001^^270168^H",2,33,50,"smolt",221667,186.01,0.000839141595275796,221480.99
"19","1",2019,"1","3F42001^^270168^R01","3F42001^^270168^H",2,34,50,"smolt",451778,156.83,0.000347139524279624,451621.17
"20","1",2013,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt",151104,65.02,0.000430299661160525,151038.98
"21","1",2014,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt",407004,36.16,8.88443356822046e-05,406967.84
"22","1",2017,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt",447474,116.59,0.000260551451034027,447357.41
"23","1",2021,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt",134570,159,0.00118154120532065,134411
"24","1",2020,"1","3F42001^^270168^R01","3F42001^^270168^H",2,33,60,"smolt",190668,75,0.000393353892630121,190593
"25","1",2018,"1","3F42001^^270168^R01","3F42001^^270168^H",2,42,60,"smolt",454494,352.75,0.000776137858805617,454141.25
