"","species","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","fate","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",2018,"3F42001^^270168^R","3F42001^^270430^H",6,154,5,"smolt","fishery",100863,5.85,5.79994646203266e-05,100857.15
"2","1",2020,"3F42001^^270168^R","3F42001^^270430^H",6,152,10,"smolt","fishery",314858,51.54,0.00016369283931169,314806.46
"3","1",2019,"3F42001^^270168^R","3F42001^^270430^H",6,153,10,"smolt","fishery",152466,45.95,0.000301378668030905,152420.05
"4","1",2012,"3F42001^^300002^H","3F42001^^300002^H",3,62,20,"smolt","fishery",1562110,68.05,4.3562873293174e-05,1562041.95
"5","1",2020,"3F42001^^300002^R","3F42001^^300002^H01",3,72,20,"smolt","fishery",1428994,40.46,2.83136248297754e-05,1428953.54
"6","1",2011,"3F42001^^300002^H","3F42001^^300002^H",3,64,30,"smolt","fishery",3801195,325.57,8.56493813129818e-05,3800869.43
"7","1",2010,"3F42001^^300002^H","3F42001^^300002^H",3,73,30,"smolt","fishery",3587175,303.12,8.45010349369629e-05,3586871.88
"8","1",2013,"3F42001^^300002^H","3F42001^^300002^H",3,75,30,"smolt","fishery",2680292,128.32,4.78753807420982e-05,2680163.68
"9","1",2014,"3F42001^^300002^H","3F42001^^300002^H",3,82,30,"smolt","fishery",893046,33.87,3.79263778125651e-05,893012.13
"10","1",2016,"3F42001^^300002^H","3F42001^^300002^H",3,85,30,"smolt","fishery",670723,36.09,5.38076076114879e-05,670686.91
"11","1",2017,"3F42001^^300002^H","3F42001^^300002^H",4,99,30,"smolt","fishery",1825065,88.29,4.83763591981655e-05,1824976.71
"12","1",2018,"3F42001^^260002^R","3F42001^^260002^H02",7,212,30,"smolt","fishery",289245,28.24,9.76334940967e-05,289216.76
"13","1",2015,"3F42001^^270168^R01","3F42001^^270430^H",10,279,30,"smolt","fishery",188892,7.98,4.224636300108e-05,188884.02
"14","1",2014,"3F42001^^260002^R","3F42001^^260002^H02",10,301,30,"smolt","fishery",492155,13.99,2.8426004002804e-05,492141.01
"15","1",2012,"3F42001^^260002^R","3F42001^^260002^H02",11,305,30,"smolt","fishery",2099706,89.26,4.25107134046386e-05,2099616.74
"16","1",2017,"3F42001^^260002^R","3F42001^^260002^H02",11,305,30,"smolt","fishery",602436,27.84,4.62123777463498e-05,602408.16
"17","1",2016,"3F42001^^260002^R","3F42001^^260002^H02",11,306,30,"smolt","fishery",82759,1.81,2.18707330924733e-05,82757.19
"18","1",2013,"3F42001^^260002^R","3F42001^^260002^H02",11,307,30,"smolt","fishery",464200,87.25,0.000187957776820336,464112.75
"19","1",2019,"3F42001^^260002^R","3F42001^^260002^H02",11,307,30,"smolt","fishery",507640,12.66,2.49389331021984e-05,507627.34
"20","1",2018,"3F42001^^260002^R","3F42001^^260002^H02",11,308,30,"smolt","fishery",251921,15.99,6.34722790081017e-05,251905.01
"21","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt","fishery",111933,7.85,7.0131239223464e-05,111925.15
"22","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,40,"smolt","fishery",147343,16.73,0.000113544586441161,147326.27
"23","1",2013,"3F42001^^270017^R","3F42001^^270017^H",2,34,40,"smolt","fishery",1322896,156.92,0.000118618545977915,1322739.08
"24","1",2012,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","fishery",44430,2.22,4.9966239027684e-05,44427.78
"25","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","fishery",377826,17.72,4.68998957191935e-05,377808.28
"26","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","fishery",244775,35.71,0.000145889081809825,244739.29
"27","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","fishery",605785,65.99,0.000108933037298712,605719.01
"28","1",2014,"5F332^^^^0100210000","5F33201^^H1^^^^^21",2,53,40,"smolt","fishery",165696,18.28,0.000110322518346852,165677.72
"29","1",2011,"3F42001^^270017^R","3F42001^^270017^H",3,60,40,"smolt","fishery",6664060,535.66,8.03804287476403e-05,6663524.34
"30","1",2017,"3F42001^^270017^R","3F42001^^270017^H",3,60,40,"smolt","fishery",1984912,152.27,7.67137283667991e-05,1984759.73
"31","1",2012,"3F42001^^270168^R01","3F42001^^270168^H",3,62,40,"smolt","fishery",126394,22.76,0.00018007183885311,126371.24
"32","1",2019,"3F42001^^300002^R","3F42001^^300002^H01",3,75,40,"smolt","fishery",350235,12.4,3.54047996345311e-05,350222.6
"33","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt","fishery",877384,58.35,6.65045179761655e-05,877325.65
"34","1",2020,"3F42001^^270168^R","3F42001^^270168^H",10,274,40,"smolt","fishery",339249,67.77,0.00019976477454613,339181.23
"35","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","fishery",357099,19.73,5.5250784796373e-05,357079.27
"36","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","fishery",132184,8.62,6.52121285480845e-05,132175.38
"37","1",2015,"3F42001^^270168^R01","3F42001^^270168^H",10,275,40,"smolt","fishery",306855,13.13,4.27889394013459e-05,306841.87
"38","1",2016,"3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt","fishery",1383520,49.59,3.58433560772522e-05,1383470.41
"39","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",10,290,40,"smolt","fishery",302392,22.71,7.5101193153258e-05,302369.29
"40","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",10,295,40,"smolt","fishery",148594,15.92,0.000107137569484636,148578.08
"41","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,50,"smolt","fishery",258727,29.67,0.000114676860165348,258697.33
"42","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,50,"smolt","fishery",206284,41.77,0.000202487832308856,206242.23
"43","1",2013,"3F42001^^260002^R","3F42001^^260002^H02",2,35,50,"smolt","fishery",2468674,363.91,0.00014741112030183,2468310.09
"44","1",2017,"3F42001^^260002^R","3F42001^^260002^H02",3,60,50,"smolt","fishery",847179,41.13,4.85493620592578e-05,847137.87
"45","1",2012,"3F42001^^270017^R","3F42001^^270017^H",3,60,50,"smolt","fishery",2749100,237.11,8.62500454694264e-05,2748862.89
"46","1",2015,"3F42001^^270017^R","3F42001^^270017^H",3,60,50,"smolt","fishery",499196,8.59,1.72076699332527e-05,499187.41
"47","1",2016,"3F42001^^270017^R","3F42001^^270017^H",3,60,50,"smolt","fishery",777968,31.47,4.04515352816568e-05,777936.53
"48","1",2020,"3F42001^^270017^R","3F42001^^270017^H",3,60,50,"smolt","fishery",2797102,168.96,6.04053767077497e-05,2796933.04
"49","1",2010,"3F42001^^270017^R","3F42001^^270017^H",3,62,50,"smolt","fishery",1514772,41.21,2.7205414412202e-05,1514730.79
"50","1",2018,"3F42001^^270017^R","3F42001^^270017^H",3,63,50,"smolt","fishery",3018350,344.71,0.000114204780757699,3018005.29
"51","1",2018,"3F42001^^260002^R","3F42001^^260002^H02",3,76,50,"smolt","fishery",1291251,55.18,4.27337519970943e-05,1291195.82
"52","1",2014,"3F42001^^270017^R","3F42001^^270017^H",12,345,50,"smolt","fishery",402100,38.76,9.63939318577468e-05,402061.24
"53","1",2018,"3F42001^^260002^R","3F42001^^260002^H02",1,22,60,"smolt","fishery",591349,30.04,5.07991050969901e-05,591318.96
"54","1",2010,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",2471848,41.53,1.6801194895479e-05,2471806.47
"55","1",2011,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",816846,15.49,1.89631827786388e-05,816830.51
"56","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",201760,56.59,0.000280481760507534,201703.41
"57","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",174132,7.17,4.11756598442561e-05,174124.83
"58","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",76122,7.08,9.30085914715851e-05,76114.92
"59","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,60,"smolt","fishery",31832,1.5,4.7122392560945e-05,31830.5
"60","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,60,"smolt","fishery",308012,37.85,0.000122884822669247,307974.15
"61","1",2019,"3F42001^^270017^R","3F42001^^270017^H",3,60,60,"smolt","fishery",1998416,337.73,0.000168998847086893,1998078.27
"62","1",2014,"3F42001^^260002^R","3F42001^^260002^H02",3,61,60,"smolt","fishery",676823,59.79,8.83391965107569e-05,676763.21
"63","1",2019,"3F42001^^260002^R","3F42001^^260002^H02",3,62,60,"smolt","fishery",1896732,95.56,5.03813928377863e-05,1896636.44
"64","1",2012,"3F42001^^260002^R","3F42001^^260002^H02",3,78,60,"smolt","fishery",5018043,563.14,0.000112223031966844,5017479.86
"65","1",2013,"3F42001^^260002^R","3F42001^^260002^H02",2,35,80,"smolt","fishery",3238772,580.3,0.000179172846992626,3238191.7
"66","1",2020,"3F42001^^260002^R","3F42001^^260002^H02",2,38,80,"smolt","fishery",110545,22.75,0.000205798543579538,110522.25
"67","1",2018,"3F42001^^260002^R","3F42001^^260002^H02",11,308,80,"smolt","fishery",2743144,177.75,6.4797910718504e-05,2742966.25
"68","1",2015,"3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt","fishery",384880,9.96,2.58781958012887e-05,384870.04
"69","1",2017,"3F42001^^260002^R","3F42001^^260002^H02",3,60,90,"smolt","fishery",1485225,66.71,4.49157535053611e-05,1485158.29
"70","1",2014,"3F42001^^260002^R","3F42001^^260002^H02",3,70,90,"smolt","fishery",964910,122.48,0.000126934118207916,964787.52
"71","1",2019,"3F42001^^260002^R","3F42001^^260002^H02",3,74,90,"smolt","fishery",958240,308.27,0.000321704374686926,957931.73
"72","1",2010,"3F42001^^260002^R","3F42001^^260002^H02",3,86,90,"smolt","fishery",3093200,315.77,0.000102085219190482,3092884.23
