"","species","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","fate","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",2019,"3F10308^^070940^R","3F10308^^070943^H",5,136,10,"smolt","fishery",1999960,162.36,8.11816236324727e-05,1999797.64
"2","1",2020,"3F10308^^070940^R","3F10308^^070943^H",5,141,10,"smolt","fishery",877734,49.97,5.69306874292212e-05,877684.03
"3","1",2013,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","fishery",21282700,777.75,3.65437655936512e-05,21281922.25
"4","1",2014,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","fishery",6975220,220.46,3.16061715616138e-05,6974999.54
"5","1",2016,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","fishery",7809278,245.67,3.14587340852765e-05,7809032.33
"6","1",2017,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","fishery",5928774,205.83,3.47171270147926e-05,5928568.17
"7","1",2018,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","fishery",12088980,384.52,3.18074808627361e-05,12088595.48
"8","1",2020,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","fishery",13466815,490.24,3.64035594162391e-05,13466324.76
"9","1",2015,"3F10308^^070940^R","3F10308^^070943^H",6,153,10,"smolt","fishery",6966980,187.45,2.69054884612845e-05,6966792.55
"10","1",2019,"3F10308^^070940^R","3F10308^^070943^H",6,153,10,"smolt","fishery",28864356,958.1,3.3193188166055e-05,28863397.9
"11","1",2011,"3F10308^^070943^R","3F10308^^070943^H",6,153,10,"smolt","fishery",6119954,161.09,2.63220932706357e-05,6119792.91
"12","1",2010,"3F10308^^070940^R","3F10308^^070943^H",6,154,10,"smolt","fishery",5187285,152.51,2.94007366088426e-05,5187132.49
"13","1",2012,"3F10308^^070940^R","3F10308^^070943^H",6,161,10,"smolt","fishery",13127927,394.07,3.00176867223591e-05,13127532.93
"14","1",2019,"3F10308^^070940^R","3F10308^^070943^H",9,264,20,"smolt","fishery",305907,38.94,0.000127293589228099,305868.06
"15","1",2020,"3F10308^^070940^R","3F10308^^070943^H",10,289,30,"smolt","fishery",394004,14.96,3.79691576735262e-05,393989.04
"16","1",2014,"3F10308^^070940^R","3F10308^^070943^H",4,92,40,"smolt","fishery",1366256,114.02,8.34543453057114e-05,1366141.98
"17","1",2012,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","fishery",2748866,209.6,7.62496243905669e-05,2748656.4
"18","1",2015,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","fishery",3069534,190.96,6.22113975606721e-05,3069343.04
"19","1",2019,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","fishery",1648710,114.95,6.97211759496819e-05,1648595.05
"20","1",2020,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","fishery",3820826,236.66,6.19394863833108e-05,3820589.34
"21","1",2010,"3F10308^^070940^R","3F10308^^070943^H",4,92,50,"smolt","fishery",4550366,321.68,7.06932145677952e-05,4550044.32
"22","1",2018,"3F10308^^070940^R","3F10308^^070943^H",4,92,50,"smolt","fishery",2613924,173.76,6.64747712634338e-05,2613750.24
"23","1",2013,"3F10308^^070940^R","3F10308^^070943^H",4,91,60,"smolt","fishery",3962355,392.77,9.91253938629931e-05,3961962.23
"24","1",2019,"3F10308^^070940^R","3F10308^^070943^H",5,136,10,"smolt","hatchery",99998,307.31,0.00307316146322926,99690.69
"25","1",2020,"3F10308^^070940^R","3F10308^^070943^H",5,141,10,"smolt","hatchery",195052,221.11,0.00113359514385907,194830.89
"26","1",2013,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","hatchery",597880,2712.61,0.00453704756807386,595167.39
"27","1",2014,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","hatchery",398720,747.55,0.00187487459871589,397972.45
"28","1",2016,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","hatchery",615588,1049.82,0.00170539386732685,614538.18
"29","1",2017,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","hatchery",593653,857.02,0.00144363795011564,592795.98
"30","1",2018,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","hatchery",819140,1344.99,0.00164195375637864,817795.01
"31","1",2020,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","hatchery",773814,1752.17,0.00226432967095452,772061.83
"32","1",2015,"3F10308^^070940^R","3F10308^^070943^H",6,153,10,"smolt","hatchery",409828,1361.13,0.00332122256166001,408466.87
"33","1",2019,"3F10308^^070940^R","3F10308^^070943^H",6,153,10,"smolt","hatchery",1692433,2393.74,0.00141437799901089,1690039.26
"34","1",2011,"3F10308^^070943^R","3F10308^^070943^H",6,153,10,"smolt","hatchery",611012,459.12,0.000751409137627412,610552.88
"35","1",2010,"3F10308^^070940^R","3F10308^^070943^H",6,154,10,"smolt","hatchery",794114,459.95,0.000579198956321133,793654.05
"36","1",2012,"3F10308^^070940^R","3F10308^^070943^H",6,161,10,"smolt","hatchery",604409,1021.65,0.00169032889980129,603387.35
"37","1",2019,"3F10308^^070940^R","3F10308^^070943^H",9,264,20,"smolt","hatchery",101969,54.7,0.000536437544743991,101914.3
"38","1",2020,"3F10308^^070940^R","3F10308^^070943^H",10,289,30,"smolt","hatchery",98501,62.37,0.000633191541202627,98438.63
"39","1",2014,"3F10308^^070940^R","3F10308^^070943^H",4,92,40,"smolt","hatchery",80368,229.52,0.00285586303006172,80138.48
"40","1",2012,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","hatchery",80849,260.71,0.00322465336615171,80588.29
"41","1",2015,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","hatchery",105846,304.15,0.0028735143510383,105541.85
"42","1",2019,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","hatchery",91595,170.3,0.00185927179431192,91424.7
"43","1",2020,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","hatchery",273517,650.99,0.00238007143980082,272866.01
"44","1",2010,"3F10308^^070940^R","3F10308^^070943^H",4,92,50,"smolt","hatchery",73393,472.3,0.00643521861757933,72920.7
"45","1",2018,"3F10308^^070940^R","3F10308^^070943^H",4,92,50,"smolt","hatchery",96812,270.55,0.00279459157955625,96541.45
"46","1",2013,"3F10308^^070940^R","3F10308^^070943^H",4,91,60,"smolt","hatchery",69515,458.93,0.00660188448536287,69056.07
"47","1",2019,"3F10308^^070940^R","3F10308^^070943^H",5,136,10,"smolt","spawngr",199996,21.14,0.000105702114042281,199974.86
"48","1",2020,"3F10308^^070940^R","3F10308^^070943^H",5,141,10,"smolt","spawngr",195052,13.47,6.90585074749298e-05,195038.53
"49","1",2013,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","spawngr",1991700,297.8,0.000149520510116985,1991402.2
"50","1",2014,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","spawngr",996660,49.09,4.92545100636125e-05,996610.91
"51","1",2016,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","spawngr",1231176,71.57,5.81314125681462e-05,1231104.43
"52","1",2017,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","spawngr",1581228,114.3,7.22855906928033e-05,1581113.7
"53","1",2018,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","spawngr",1843280,122.08,6.62297643331453e-05,1843157.92
"54","1",2020,"3F10308^^070940^R","3F10308^^070943^H",6,152,10,"smolt","spawngr",2427225,184.94,7.61940075600738e-05,2427040.06
"55","1",2015,"3F10308^^070940^R","3F10308^^070943^H",6,153,10,"smolt","spawngr",1229484,85.81,6.97935068695485e-05,1229398.19
"56","1",2019,"3F10308^^070940^R","3F10308^^070943^H",6,153,10,"smolt","spawngr",5293105,341.21,6.4463108137851e-05,5292763.79
"57","1",2011,"3F10308^^070943^R","3F10308^^070943^H",6,153,10,"smolt","spawngr",1829758,95.09,5.19686209870376e-05,1829662.91
"58","1",2010,"3F10308^^070940^R","3F10308^^070943^H",6,154,10,"smolt","spawngr",593989,18.8,3.16504177686792e-05,593970.2
"59","1",2012,"3F10308^^070940^R","3F10308^^070943^H",6,161,10,"smolt","spawngr",1410977,45.32,3.21195880584871e-05,1410931.68
"60","1",2019,"3F10308^^070940^R","3F10308^^070943^H",9,264,20,"smolt","spawngr",203938,22.4,0.000109837303494199,203915.6
"61","1",2020,"3F10308^^070940^R","3F10308^^070943^H",10,289,30,"smolt","spawngr",98501,3.64,3.69539395539132e-05,98497.36
"62","1",2014,"3F10308^^070940^R","3F10308^^070943^H",4,92,40,"smolt","spawngr",241104,31.21,0.00012944621408189,241072.79
"63","1",2012,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","spawngr",161698,54.75,0.000338594169377482,161643.25
"64","1",2015,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","spawngr",211692,7.54,3.56177843281749e-05,211684.46
"65","1",2019,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","spawngr",274785,26.39,9.6038721182015e-05,274758.61
"66","1",2020,"3F10308^^070940^R","3F10308^^070943^H",4,91,50,"smolt","spawngr",551240,36.41,6.60510848269356e-05,551203.59
"67","1",2010,"3F10308^^070940^R","3F10308^^070943^H",4,92,50,"smolt","spawngr",293572,76.48,0.000260515307999401,293495.52
"68","1",2018,"3F10308^^070940^R","3F10308^^070943^H",4,92,50,"smolt","spawngr",387248,30.57,7.89416601247779e-05,387217.43
"69","1",2013,"3F10308^^070940^R","3F10308^^070943^H",4,91,60,"smolt","spawngr",208545,34.52,0.000165527823731089,208510.48
