"","species","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","fate","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",2015,"3F10510^^090072^R","3F10510^^090072^H",5,127,5,"smolt","fishery",19569556,897.91,4.58830031708435e-05,19568658.09
"2","1",2019,"3F10510^^090072^R","3F10510^^090072^H",5,139,5,"smolt","fishery",16035904,365.73,2.28069462126987e-05,16035538.27
"3","1",2020,"3F10510^^090072^R","3F10510^^090072^H",5,139,5,"smolt","fishery",1390403,22.41,1.61176292053455e-05,1390380.59
"4","1",2018,"3F10510^^090072^R","3F10510^^090072^H",5,142,5,"smolt","fishery",10697618,295.37,2.76108195301047e-05,10697322.63
"5","1",2019,"3F10510^^090072^R","3F10510^^090072^H",5,143,5,"smolt","fishery",16495677,341.73,2.07163367711431e-05,16495335.27
"6","1",2013,"3F10510^^090072^R","3F10510^^090072^H",5,147,5,"smolt","fishery",14090310,579.22,4.11076832234351e-05,14089730.78
"7","1",2019,"3F10510^^090072^R","3F10510^^090072^H",5,147,5,"smolt","fishery",12998402,505.67,3.89024743195356e-05,12997896.33
"8","1",2004,"3F10510^^090072^R","3F10510^^090072^H",5,122,10,"smolt","fishery",20048392,1259.11,6.28035405532773e-05,20047132.89
"9","1",2017,"3F10510^^090072^R","3F10510^^090072^H",5,127,10,"smolt","fishery",8337273,146.24,1.75405075496508e-05,8337126.76
"10","1",2020,"3F10510^^090072^R","3F10510^^090072^H",5,130,10,"smolt","fishery",12435025,136.78,1.09995757949823e-05,12434888.22
"11","1",2020,"3F10510^^090072^R","3F10510^^090072^H",5,133,10,"smolt","fishery",5932764,147.19,2.48096839854071e-05,5932616.81
"12","1",2010,"3F10510^^090072^R","3F10510^^090072^H",5,136,10,"smolt","fishery",8099524,285.9,3.52983706202982e-05,8099238.1
"13","1",2000,"3F10510^^090072^R","3F10510^^090072^H",5,138,10,"smolt","fishery",12760072,783.33,6.13891520361327e-05,12759288.67
"14","1",2014,"3F10510^^090072^R","3F10510^^090072^H",5,138,10,"smolt","fishery",26230087,1656.61,6.31568625754082e-05,26228430.39
"15","1",2003,"3F10510^^090072^R","3F10510^^090072^H",5,139,10,"smolt","fishery",14449893,984.6,6.81389128625382e-05,14448908.4
"16","1",2016,"3F10510^^090072^R","3F10510^^090072^H",5,139,10,"smolt","fishery",12113865,337.7,2.78771473844227e-05,12113527.3
"17","1",2020,"3F10510^^090072^R","3F10510^^090072^H",5,141,10,"smolt","fishery",6352064,230.15,3.62323175585133e-05,6351833.85
"18","1",2002,"3F10510^^090072^R","3F10510^^090072^H",5,142,10,"smolt","fishery",16693135,1324.98,7.9372748138681e-05,16691810.02
"19","1",2005,"3F10510^^090072^R","3F10510^^090072^H",5,142,10,"smolt","fishery",19289718,1759.1,9.11936607886129e-05,19287958.9
"20","1",2006,"3F10510^^090072^R","3F10510^^090072^H",5,142,10,"smolt","fishery",8800035,389.62,4.42748239069504e-05,8799645.38
"21","1",2012,"3F10510^^090072^R","3F10510^^090072^H",5,143,10,"smolt","fishery",5264086,148.36,2.81834301339302e-05,5263937.64
"22","1",2008,"3F10510^^090072^R","3F10510^^090072^H",5,144,10,"smolt","fishery",8834115,302.86,3.42830040134184e-05,8833812.14
"23","1",2007,"3F10510^^090072^R","3F10510^^090072^H",5,145,10,"smolt","fishery",20063313,1053.4,5.25037913728406e-05,20062259.6
"24","1",2009,"3F10510^^090072^R","3F10510^^090072^H",5,145,10,"smolt","fishery",17793673,575.63,3.23502629277272e-05,17793097.37
"25","1",2011,"3F10510^^090072^R","3F10510^^090072^H",5,146,10,"smolt","fishery",9988388,313.04,3.13403924637289e-05,9988074.96
"26","1",2001,"3F10510^^090072^R","3F10510^^090072^H",6,154,10,"smolt","fishery",5978821,248.31,4.15315996247421e-05,5978572.69
"27","1",2019,"3F10510^^090001^R02","3F10510^^090147^H",7,183,10,"smolt","fishery",4823088,178.27,3.69617970893336e-05,4822909.73
"28","1",2015,"3F10510^^090125^R","3F10510^^090125^H",4,104,20,"smolt","fishery",14850824,636.44,4.28555344807803e-05,14850187.56
"29","1",2020,"3F10510^^090125^R","3F10510^^090125^H",10,291,20,"smolt","fishery",1919620,48.78,2.54112793156979e-05,1919571.22
