"","species","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","fate","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",1990,"3F42001^^260002^R","3F42001^^260002^H02",5,133,10,"smolt","fishery",323890,12.59,3.88712217110747e-05,323877.41
"2","1",1989,"3F42001^^260002^R","3F42001^^260002^H02",5,136,10,"smolt","fishery",383868,19.31,5.03037502474809e-05,383848.69
"3","1",1995,"3F42001^^260002^R","3F42001^^260002^H02",5,138,10,"smolt","fishery",103116,22.95,0.000222564878389387,103093.05
"4","1",1993,"3F42001^^260002^R","3F42001^^260002^H02",5,139,20,"smolt","fishery",2245164,38.06,1.69519910349533e-05,2245125.94
"5","1",1989,"3F42001^^260002^R","3F42001^^260002^H02",6,169,20,"smolt","fishery",211437,8.13,3.84511698520127e-05,211428.87
"6","1",1989,"3F42001^^260002^R","3F42001^^260002^H02",7,186,20,"smolt","fishery",423030,44.61,0.000105453513935182,422985.39
"7","1",1990,"3F42001^^260002^R","3F42001^^260002^H02",7,191,20,"smolt","fishery",71344,12.58,0.000176328773267549,71331.42
"8","1",1991,"3F42001^^260002^R","3F42001^^260002^H02",7,195,20,"smolt","fishery",74774,5.87,7.85032230454436e-05,74768.13
"9","1",2001,"3F42001^^260002^R","3F42001^^260002^H02",3,62,30,"smolt","fishery",439040,67.35,0.000153402879008746,438972.65
"10","1",2000,"3F42001^^260002^R","3F42001^^260002^H02",3,63,30,"smolt","fishery",6682764,1069.22,0.000159996672035703,6681694.78
"11","1",2002,"3F42001^^260002^R","3F42001^^260002^H02",3,89,30,"smolt","fishery",302280,37.82,0.000125115786687839,302242.18
"12","1",2001,"3F42001^^260002^R","3F42001^^260002^H02",4,91,30,"smolt","fishery",795031,190.22,0.000239261110573047,794840.78
"13","1",2004,"3F42001^^260002^R","3F42001^^260002^H02",4,93,30,"smolt","fishery",276681,42.21,0.000152558361434287,276638.79
"14","1",2003,"3F42001^^260002^R","3F42001^^260002^H02",4,94,30,"smolt","fishery",188333,23.31,0.000123770130566603,188309.69
"15","1",2018,"3F42001^^260002^R","3F42001^^260002^H02",7,212,30,"smolt","fishery",289245,28.24,9.76334940967e-05,289216.76
"16","1",1971,"3F42001^^260002^R","3F42001^^260002^H02",9,264,30,"smolt","fishery",389587,169.91,0.000436128515581885,389417.09
"17","1",2014,"3F42001^^260002^R","3F42001^^260002^H02",10,301,30,"smolt","fishery",492155,13.99,2.8426004002804e-05,492141.01
"18","1",2012,"3F42001^^260002^R","3F42001^^260002^H02",11,305,30,"smolt","fishery",2099706,89.26,4.25107134046386e-05,2099616.74
