"","species","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","fate","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",2018,"3F42001^^270168^R","3F42001^^270430^H",6,154,5,"fry_parr","fishery",100863,5.85,5.79994646203266e-05,100857.15
"2","1",2020,"3F42001^^270168^R","3F42001^^270430^H",6,152,10,"fry_parr","fishery",314858,51.54,0.00016369283931169,314806.46
"3","1",2022,"3F42001^^270168^R","3F42001^^270430^H",6,152,10,"fry_parr","fishery",52802,3.29,6.23082458997765e-05,52798.71
"4","1",2019,"3F42001^^270168^R","3F42001^^270430^H",6,153,10,"fry_parr","fishery",152466,45.95,0.000301378668030905,152420.05
"5","1",1973,"3F42001^^270168^R","3F42001^^270430^H",9,267,20,"smolt","fishery",252054,321.02,0.00127361597118078,251732.98
"6","1",1972,"3F42001^^270168^R","3F42001^^270430^H",9,269,20,"smolt","fishery",167040,165.39,0.000990122126436782,166874.61
"7","1",1991,"3F42001^^270168^R","3F42001^^270168^H",3,85,30,"smolt","fishery",39995,5.96,0.000149018627328416,39989.04
"8","1",2015,"3F42001^^270168^R01","3F42001^^270430^H",10,279,30,"smolt","fishery",188892,7.98,4.224636300108e-05,188884.02
"9","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt","fishery",111933,7.85,7.0131239223464e-05,111925.15
"10","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt","fishery",193508,71.68,0.000370423961800029,193436.32
"11","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,40,"smolt","fishery",147343,16.73,0.000113544586441161,147326.27
"12","1",2012,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","fishery",44430,2.22,4.9966239027684e-05,44427.78
"13","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","fishery",377826,17.72,4.68998957191935e-05,377808.28
"14","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","fishery",244775,35.71,0.000145889081809825,244739.29
"15","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","fishery",605785,65.99,0.000108933037298712,605719.01
"16","1",1973,"3F42001^^270168^R","3F42001^^270430^H",2,52,40,"smolt","fishery",195580,208.8,0.00106759382349934,195371.2
"17","1",2012,"3F42001^^270168^R01","3F42001^^270168^H",3,62,40,"smolt","fishery",126394,22.76,0.00018007183885311,126371.24
"18","1",1997,"3F42001^^270168^R01","3F42001^^270168^H",4,95,40,"smolt","fishery",11392500,493.28,4.32986614000439e-05,11392006.72
"19","1",1990,"3F42001^^270168^R","3F42001^^270430^H",4,105,40,"smolt","fishery",153441,40.29,0.000262576495200109,153400.71
"20","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt","fishery",877384,58.35,6.65045179761655e-05,877325.65
"21","1",2020,"3F42001^^270168^R","3F42001^^270168^H",10,274,40,"smolt","fishery",339249,67.77,0.00019976477454613,339181.23
"22","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","fishery",357099,19.73,5.5250784796373e-05,357079.27
"23","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","fishery",132184,8.62,6.52121285480845e-05,132175.38
"24","1",2015,"3F42001^^270168^R01","3F42001^^270168^H",10,275,40,"smolt","fishery",306855,13.13,4.27889394013459e-05,306841.87
"25","1",2022,"3F42001^^270168^R01","3F42001^^270168^H",10,276,40,"smolt","fishery",40407,3.29,8.14215358724973e-05,40403.71
"26","1",2016,"3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt","fishery",1383520,49.59,3.58433560772522e-05,1383470.41
"27","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",10,285,40,"smolt","fishery",217374,25.36,0.00011666528655681,217348.64
"28","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",10,290,40,"smolt","fishery",302392,22.71,7.5101193153258e-05,302369.29
"29","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",10,295,40,"smolt","fishery",148594,15.92,0.000107137569484636,148578.08
"30","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,50,"smolt","fishery",129189,13.68,0.000105891368460163,129175.32
"31","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,50,"smolt","fishery",258727,29.67,0.000114676860165348,258697.33
"32","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,50,"smolt","fishery",206284,41.77,0.000202487832308856,206242.23
"33","1",2007,"3F42001^^270168^R01","3F42001^^270168^H",2,48,50,"smolt","fishery",1587111,36.66,2.30985734457136e-05,1587074.34
"34","1",1972,"3F42001^^270168^R","3F42001^^270430^H",2,52,50,"smolt","fishery",156510,36.7,0.000234489808957894,156473.3
"35","1",2009,"3F42001^^270168^R01","3F42001^^270168^H",3,60,50,"smolt","fishery",284051,9.06,3.18956807052255e-05,284041.94
"36","1",1990,"3F42001^^270168^R","3F42001^^270168^H",3,72,50,"smolt","fishery",629952,308.37,0.000489513486741847,629643.63
"37","1",2000,"3F42001^^270168^R01","3F42001^^270168^H",3,79,50,"smolt","fishery",2491205,207.8,8.34134485118647e-05,2490997.2
"38","1",1989,"3F42001^^270168^R","3F42001^^270168^H",3,84,50,"smolt","fishery",5947330,445.87,7.49697763534225e-05,5946884.13
"39","1",1988,"3F42001^^270168^R","3F42001^^270168^H",4,96,50,"smolt","fishery",9794540,1764.93,0.000180195292479279,9792775.07
"40","1",2010,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",2471848,41.53,1.6801194895479e-05,2471806.47
"41","1",2011,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",816846,15.49,1.89631827786388e-05,816830.51
"42","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",201760,56.59,0.000280481760507534,201703.41
"43","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",174132,7.17,4.11756598442561e-05,174124.83
"44","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",76122,7.08,9.30085914715851e-05,76114.92
"45","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","fishery",236204,25.07,0.000106137067958206,236178.93
"46","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,60,"smolt","fishery",31832,1.5,4.7122392560945e-05,31830.5
"47","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,60,"smolt","fishery",308012,37.85,0.000122884822669247,307974.15
"48","1",1993,"3F42001^^270168^R01","3F42001^^270168^H",2,43,60,"smolt","fishery",268758,24.93,9.27600294688902e-05,268733.07
"49","1",2002,"3F42001^^270168^R01","3F42001^^270168^H",2,46,60,"smolt","fishery",10765332,723.8,6.72343407523335e-05,10764608.2
"50","1",2008,"3F42001^^270168^R01","3F42001^^270168^H",2,50,60,"smolt","fishery",4847240,121.18,2.49997936970317e-05,4847118.82
"51","1",1991,"3F42001^^270168^R","3F42001^^270168^H",2,56,60,"smolt","fishery",86324,2.28,2.64121217737825e-05,86321.72
"52","1",1995,"3F42001^^270168^R01","3F42001^^270168^H",3,60,60,"smolt","fishery",199920,20.75,0.000103791516606643,199899.25
"53","1",2003,"3F42001^^270168^R01","3F42001^^270168^H",3,60,60,"smolt","fishery",4930444,195.09,3.9568444545765e-05,4930248.91
"54","1",1992,"3F42001^^270168^R","3F42001^^270168^H",3,63,60,"smolt","fishery",1026214,122.37,0.000119244134264393,1026091.63
"55","1",2001,"3F42001^^270168^R01","3F42001^^270168^H",3,65,60,"smolt","fishery",6070306,208.59,3.43623533970116e-05,6070097.41
"56","1",2006,"3F42001^^270168^R01","3F42001^^270168^H",3,77,60,"smolt","fishery",4532925,148.16,3.2685297021239e-05,4532776.84
"57","1",2005,"3F42001^^270168^R01","3F42001^^270168^H",3,78,60,"smolt","fishery",2146364,76.12,3.546462762141e-05,2146287.88
"58","1",2004,"3F42001^^270168^R01","3F42001^^270168^H",3,79,60,"smolt","fishery",1245485,38.82,3.11685809142623e-05,1245446.18
"59","1",1990,"3F42001^^270168^R","3F42001^^270168^H",3,82,60,"smolt","fishery",100322,61.45,0.0006125276609318,100260.55
"60","1",1997,"3F42001^^270168^R01","3F42001^^270168^H",3,74,70,"smolt","fishery",7582854,445.67,5.87733853243119e-05,7582408.33
"61","1",1994,"3F42001^^270168^R","3F42001^^270168^H",3,82,70,"smolt","fishery",38329,4.53,0.000118187273343943,38324.47
"62","1",1994,"3F42001^^270168^R","3F42001^^270168^H",2,39,80,"smolt","fishery",827469,57.78,6.98273893040102e-05,827411.22
"63","1",1993,"3F42001^^270168^R01","3F42001^^270168^H",2,43,90,"smolt","fishery",398416,28.61,7.18093650857395e-05,398387.39
"64","1",1998,"3F42001^^270168^R01","3F42001^^270168^H",2,53,90,"smolt","fishery",8242864,554.56,6.72775870134458e-05,8242309.44
"65","1",1999,"3F42001^^270168^R01","3F42001^^270168^H",2,53,90,"smolt","fishery",11571043,580.89,5.02020431520305e-05,11570462.11
"66","1",1995,"3F42001^^270168^R01","3F42001^^270168^H",3,60,90,"smolt","fishery",97170,6.08,6.25707522898014e-05,97163.92
"67","1",1998,"3F42001^^270168^R01","3F42001^^270168^H",3,81,90,"smolt","fishery",2172930,90.07,4.14509441169297e-05,2172839.93
"68","1",1996,"3F42001^^270168^R","3F42001^^270168^H",3,81,120,"smolt","fishery",1683332,311,0.000184752621586235,1683021
"69","1",2018,"3F42001^^270168^R","3F42001^^270430^H",6,154,5,"fry_parr","hatchery",201823,33.09,0.000163955545205452,201789.91
"70","1",2020,"3F42001^^270168^R","3F42001^^270430^H",6,152,10,"fry_parr","hatchery",179936,59.1,0.000328450115596657,179876.9
"71","1",2022,"3F42001^^270168^R","3F42001^^270430^H",6,152,10,"fry_parr","hatchery",320691,47,0.000146558525184679,320644
"72","1",2021,"3F42001^^270168^R01","3F42001^^270430^H",6,152,10,"fry_parr","hatchery",312579,14.04,4.49166450721258e-05,312564.96
"73","1",2019,"3F42001^^270168^R","3F42001^^270430^H",6,153,10,"fry_parr","hatchery",304947,63.4,0.000207904980209676,304883.6
"74","1",1973,"3F42001^^270168^R","3F42001^^270430^H",9,267,20,"smolt","hatchery",28006,40.01,0.00142862243804899,27965.99
"75","1",1972,"3F42001^^270168^R","3F42001^^270430^H",9,269,20,"smolt","hatchery",41760,53.56,0.00128256704980843,41706.44
"76","1",1991,"3F42001^^270168^R","3F42001^^270168^H",3,85,30,"smolt","hatchery",39995,3.06,7.65095636954619e-05,39991.94
"77","1",2015,"3F42001^^270168^R01","3F42001^^270430^H",10,279,30,"smolt","hatchery",188150,42.36,0.000225139516343343,188107.64
"78","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt","hatchery",74597,60.3,0.000808343499068327,74536.7
"79","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt","hatchery",128990,190.13,0.00147399023180091,128799.87
"80","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,40,"smolt","hatchery",184786,110.15,0.00059609494225753,184675.85
"81","1",2012,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","hatchery",132752,22.12,0.000166626491502953,132729.88
"82","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","hatchery",330444,324.38,0.000981648932950818,330119.62
"83","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","hatchery",174812,107.55,0.000615232363910944,174704.45
"84","1",2022,"3F42001^^270168^R01","3F42001^^270168^H",2,36,40,"smolt","hatchery",105935,7,6.60782555340539e-05,105928
"85","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","hatchery",213790,326.64,0.00152785443659666,213463.36
"86","1",1973,"3F42001^^270168^R","3F42001^^270430^H",2,52,40,"smolt","hatchery",39116,36.83,0.000941558441558442,39079.17
