"","species","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","fate","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",2012,"3F10806^^180272^R","3F10806^^180272^H",5,151,10,"smolt","fishery",5859192,138.46,2.36312447177017e-05,5859053.54
"2","1",2014,"3F10806^^180272^R","3F10806^^180272^H",6,152,10,"smolt","fishery",4998400,97.28,1.94622279129321e-05,4998302.72
"3","1",2016,"3F10806^^180272^R","3F10806^^180272^H",6,152,10,"smolt","fishery",3379015,75.59,2.2370424517204e-05,3378939.41
"4","1",2017,"3F10806^^180272^R","3F10806^^180272^H",6,152,10,"smolt","fishery",5941176,128.26,2.1588318541649e-05,5941047.74
"5","1",2020,"3F10806^^180272^R","3F10806^^180272^H",6,152,10,"smolt","fishery",11309100,478.36,4.22986798242124e-05,11308621.64
"6","1",2019,"3F10806^^180272^R","3F10806^^180272^H",6,153,10,"smolt","fishery",4190500,93.54,2.23219186254624e-05,4190406.46
"7","1",2015,"3F10806^^180272^R","3F10806^^180272^H",6,161,10,"smolt","fishery",11742809,275.1,2.34271033446938e-05,11742533.9
"8","1",2018,"3F10806^^180272^R","3F10806^^180272^H",6,161,10,"smolt","fishery",6474650,117.35,1.81245318279753e-05,6474532.65
"9","1",2014,"3F10806^^180272^R","3F10806^^180272^H",3,75,50,"smolt","fishery",989750,51.77,5.23061379136146e-05,989698.23
"10","1",2017,"3F10806^^180272^R","3F10806^^180272^H",4,94,50,"smolt","fishery",387326,10.51,2.71347650299747e-05,387315.49
"11","1",2019,"3F10806^^180272^R","3F10806^^180272^H",4,95,50,"smolt","fishery",851248,25.01,2.93803920831532e-05,851222.99
"12","1",2020,"3F10806^^180272^R","3F10806^^180272^H",4,96,50,"smolt","fishery",192000,6.94,3.61458333333333e-05,191993.06
"13","1",2018,"3F10806^^180272^R","3F10806^^180272^H",2,44,60,"smolt","fishery",1640916,24.68,1.50403798853811e-05,1640891.32
"14","1",2013,"3F10806^^180272^R","3F10806^^180272^H",4,91,60,"smolt","fishery",2481766,86.46,3.48380951306449e-05,2481679.54
"15","1",2012,"3F10806^^180272^R","3F10806^^180272^H",4,95,60,"smolt","fishery",1766961,33.79,1.91232290922097e-05,1766927.21
"16","1",2015,"3F10806^^180272^R","3F10806^^180272^H",4,95,60,"smolt","fishery",704400,16.1,2.28563316297558e-05,704383.9
"17","1",2016,"3F10806^^180272^R","3F10806^^180272^H",4,91,70,"smolt","fishery",37296,5.14,0.000137816387816388,37290.86
"18","1",2010,"3F10806^^180272^R","3F10806^^180272^H",4,93,70,"smolt","fishery",1916100,34.68,1.80992641302646e-05,1916065.32
"19","1",2012,"3F10806^^180272^R","3F10806^^180272^H",5,151,10,"smolt","hatchery",251892,93.52,0.000371270226922649,251798.48
"20","1",2014,"3F10806^^180272^R","3F10806^^180272^H",6,152,10,"smolt","hatchery",249920,76.04,0.000304257362355954,249843.96
"21","1",2016,"3F10806^^180272^R","3F10806^^180272^H",6,152,10,"smolt","hatchery",452395,93.16,0.000205926237027377,452301.84
"22","1",2017,"3F10806^^180272^R","3F10806^^180272^H",6,152,10,"smolt","hatchery",247549,179,0.00072308916618528,247370
