"","species","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","fate","event_released","number_cwt_estimated","sar","tags_lost"
"1","2",2013,"3F21902^^240356^R","3F21902^^240356^H",3,75,30,"smolt","fishery",3295031,1616.55,0.000490602364590804,3293414.45
"2","2",2015,"3F21902^^240356^R","3F21902^^240356^H",3,78,30,"smolt","fishery",3224429,593.57,0.000184085306266629,3223835.43
"3","2",2020,"3F21902^^240356^R","3F21902^^240356^H",3,80,30,"smolt","fishery",1196432,347.56,0.000290497077978523,1196084.44
"4","2",2014,"3F21902^^240356^R","3F21902^^240356^H",3,90,30,"smolt","fishery",2780951,1051.27,0.000378025358950949,2779899.73
"5","2",2012,"3F21902^^240356^R","3F21902^^240356^H",4,91,30,"smolt","fishery",3720732,1246.22,0.000334939468900206,3719485.78
"6","2",2021,"3F21902^^240356^R","3F21902^^240356^H",4,91,30,"smolt","fishery",1129450,519.62,0.000460064633228563,1128930.38
"7","2",2019,"3F21902^^240356^R","3F21902^^240356^H",4,96,30,"smolt","fishery",1499100,1136.7,0.000758254952971783,1497963.3
"8","2",2018,"3F21902^^240356^R","3F21902^^240356^H",4,97,30,"smolt","fishery",1449780,983.27,0.000678220143745948,1448796.73
"9","2",2017,"3F21902^^240356^R","3F21902^^240356^H",4,112,30,"smolt","fishery",2840442,2110.81,0.000743127302018489,2838331.19
"10","2",2020,"3F21902^^240356^R","3F21902^^240356^H",4,117,30,"smolt","fishery",1323390,463.48,0.000350221778916268,1322926.52
"11","2",2018,"3F21902^^240356^R","3F21902^^240356^H",4,118,30,"smolt","fishery",1492227,976.12,0.000654136401499236,1491250.88
"12","2",2016,"3F21902^^240356^R","3F21902^^240356^H",5,121,30,"smolt","fishery",5021852,2464.46,0.000490747238269865,5019387.54
"13","2",2021,"3F21902^^240356^R","3F21902^^240356^H",5,122,30,"smolt","fishery",1258764,749.74,0.000595616016981738,1258014.26
"14","2",2019,"3F21902^^240356^R","3F21902^^240356^H",5,123,30,"smolt","fishery",1656783,1301.52,0.00078557059071707,1655481.48
"15","2",2013,"3F21902^^240356^R","3F21902^^240356^H",3,75,30,"smolt","hatchery",382961,3103.82,0.00810479396074274,379857.18
"16","2",2015,"3F21902^^240356^R","3F21902^^240356^H",3,78,30,"smolt","hatchery",149973,1750.38,0.0116713008341501,148222.62
"17","2",2020,"3F21902^^240356^R","3F21902^^240356^H",3,80,30,"smolt","hatchery",149680,1830.84,0.0122316942811331,147849.16
"18","2",2014,"3F21902^^240356^R","3F21902^^240356^H",3,90,30,"smolt","hatchery",231539,1027.83,0.0044391225668246,230511.17
"19","2",2012,"3F21902^^240356^R","3F21902^^240356^H",4,91,30,"smolt","hatchery",156804,1962.48,0.0125154970536466,154841.52
"20","2",2021,"3F21902^^240356^R","3F21902^^240356^H",4,91,30,"smolt","hatchery",76208,2815.86,0.0369496640772622,73392.14
"21","2",2019,"3F21902^^240356^R","3F21902^^240356^H",4,96,30,"smolt","hatchery",76783,2707.79,0.0352654884544756,74075.21
"22","2",2018,"3F21902^^240356^R","3F21902^^240356^H",4,97,30,"smolt","hatchery",76353,4860.68,0.063660628920933,71492.32
"23","2",2017,"3F21902^^240356^R","3F21902^^240356^H",4,112,30,"smolt","hatchery",299292,3732.18,0.012470029269075,295559.82
"24","2",2020,"3F21902^^240356^R","3F21902^^240356^H",4,117,30,"smolt","hatchery",113380,2737.28,0.0241425295466573,110642.72
"25","2",2018,"3F21902^^240356^R","3F21902^^240356^H",4,118,30,"smolt","hatchery",114747,4890.18,0.0426170618839708,109856.82
"26","2",2016,"3F21902^^240356^R","3F21902^^240356^H",5,121,30,"smolt","hatchery",299686,4957.1,0.0165409795586047,294728.9
"27","2",2021,"3F21902^^240356^R","3F21902^^240356^H",5,122,30,"smolt","hatchery",78726,3945.07,0.0501113990295455,74780.93
"28","2",2019,"3F21902^^240356^R","3F21902^^240356^H",5,123,30,"smolt","hatchery",77142,3075.97,0.0398741282310544,74066.03
"29","2",2015,"3F21902^^240356^R","3F21902^^240356^H",3,78,30,"smolt","spawngr",299947,112.34,0.00037453283413403,299834.66
"30","2",2020,"3F21902^^240356^R","3F21902^^240356^H",3,80,30,"smolt","spawngr",148672,355.2,0.00238915195867413,148316.8
"31","2",2014,"3F21902^^240356^R","3F21902^^240356^H",3,90,30,"smolt","spawngr",77116,0,0,77116
"32","2",2021,"3F21902^^240356^R","3F21902^^240356^H",4,91,30,"smolt","spawngr",76208,242.64,0.00318391769892925,75965.36
"33","2",2019,"3F21902^^240356^R","3F21902^^240356^H",4,96,30,"smolt","spawngr",268537,934.5,0.00347996737879696,267602.5
"34","2",2018,"3F21902^^240356^R","3F21902^^240356^H",4,97,30,"smolt","spawngr",38228,273.59,0.007156796065711,37954.41
"35","2",2017,"3F21902^^240356^R","3F21902^^240356^H",4,112,30,"smolt","spawngr",299292,826.74,0.00276231907301231,298465.26
"36","2",2020,"3F21902^^240356^R","3F21902^^240356^H",4,117,30,"smolt","spawngr",187720,603.84,0.00321670573194119,187116.16
"37","2",2018,"3F21902^^240356^R","3F21902^^240356^H",4,118,30,"smolt","spawngr",38292,273.59,0.00714483443016818,38018.41
"38","2",2016,"3F21902^^240356^R","3F21902^^240356^H",5,121,30,"smolt","spawngr",224816,674.04,0.00299818518254928,224141.96
"39","2",2021,"3F21902^^240356^R","3F21902^^240356^H",5,122,30,"smolt","spawngr",157310,354.09,0.00225090585468184,156955.91
"40","2",2019,"3F21902^^240356^R","3F21902^^240356^H",5,123,30,"smolt","spawngr",231426,640.8,0.00276891965466283,230785.2
