"species","run","location_code","loc_col","name","region"
"1","3","3F42001^^330002^H01","hatchery_location_code","LYONS FERRY HATCHERY",1
"3","2","3F42001^^330002^H01","hatchery_location_code","LYONS FERRY HATCHERY",1
"1","8","3F42001^^330002^H01","hatchery_location_code","LYONS FERRY HATCHERY",1
"1","1","3F42001^^330002^H01","hatchery_location_code","LYONS FERRY HATCHERY",1
"3","2","3F42001^^350009^H","hatchery_location_code","TUCANNON HATCHERY",1
"1","1","3F42001^^350009^H","hatchery_location_code","TUCANNON HATCHERY",1
"3","2","3F42001^^550003^H01","hatchery_location_code","SPOKANE HATCHERY",1
"1","2","3F42001^^580428^H01","hatchery_location_code","SHERMAN CR HATCHERY",1
"1","8","5F33438^^H38^^^^21","hatchery_location_code","IRRIGON HATCHERY",1
"3","2","5F33438^^H38^^^^21","hatchery_location_code","IRRIGON HATCHERY",1
"1","3","5F33438^^H38^^^^21","hatchery_location_code","IRRIGON HATCHERY",1
"1","1","5F33438^^H38^^^^21","hatchery_location_code","IRRIGON HATCHERY",1
"1","7","5F33438^^H38^^^^21","hatchery_location_code","IRRIGON HATCHERY",1
"3","2","5F33530^^H30^^^^21","hatchery_location_code","WALLOWA HATCHERY",1
"1","1","5F33530^^H30^^^^21","hatchery_location_code","WALLOWA HATCHERY",1
"3","2","3F42001^^411199^H","hatchery_location_code","COLUMBIA BASIN HATCHERY",2
"2","3","3F42001^^440001^H04","hatchery_location_code","TURTLE ROCK HATCHERY",2
"1","2","3F42001^^440001^H04","hatchery_location_code","TURTLE ROCK HATCHERY",2
"3","2","3F42001^^440001^H04","hatchery_location_code","TURTLE ROCK HATCHERY",2
"1","3","3F42001^^440001^H04","hatchery_location_code","TURTLE ROCK HATCHERY",2
"2","7","3F42001^^440001^H04","hatchery_location_code","TURTLE ROCK HATCHERY",2
"1","1","3F42001^^440001^H04","hatchery_location_code","TURTLE ROCK HATCHERY",2
"3","2","3F42001^^440001^H05","hatchery_location_code","EASTBANK HATCHERY",2
"1","2","3F42001^^440001^H05","hatchery_location_code","EASTBANK HATCHERY",2
"1","1","3F42001^^440001^H05","hatchery_location_code","EASTBANK HATCHERY",2
"1","1","3F42001^^450474^H","hatchery_location_code","LEAVENWORTH HATCHERY",2
"2","3","3F42001^^450474^H","hatchery_location_code","LEAVENWORTH HATCHERY",2
"2","5","3F42001^^450474^H","hatchery_location_code","LEAVENWORTH HATCHERY",2
"3","2","3F42001^^450474^H","hatchery_location_code","LEAVENWORTH HATCHERY",2
"3","2","3F42001^^450759^H","hatchery_location_code","CHIWAWA HATCHERY",2
"1","1","3F42001^^450759^H","hatchery_location_code","CHIWAWA HATCHERY",2
"1","2","3F42001^^470001^H02","hatchery_location_code","WELLS HATCHERY",2
"3","2","3F42001^^470001^H02","hatchery_location_code","WELLS HATCHERY",2
"1","3","3F42001^^470001^H02","hatchery_location_code","WELLS HATCHERY",2
"2","5","3F42001^^470001^H02","hatchery_location_code","WELLS HATCHERY",2
"2","3","3F42001^^470001^H02","hatchery_location_code","WELLS HATCHERY",2
"1","2","3F42001^^470052^H","hatchery_location_code","CHELAN HATCHERY",2
"3","2","3F42001^^470052^H","hatchery_location_code","CHELAN HATCHERY",2
"3","2","3F42001^^470052^H02","hatchery_location_code","CHELAN PUD HATCHERY",2
"1","2","3F42001^^470052^H02","hatchery_location_code","CHELAN PUD HATCHERY",2
"1","1","3F42001^^480002^H03","hatchery_location_code","METHOW HATCHERY",2
"2","5","3F42001^^480002^H03","hatchery_location_code","METHOW HATCHERY",2
"3","2","3F42001^^480002^H03","hatchery_location_code","METHOW HATCHERY",2
"1","2","3F42001^^480002^H03","hatchery_location_code","METHOW HATCHERY",2
"2","3","3F42001^^480002^H03","hatchery_location_code","METHOW HATCHERY",2
"1","1","3F42001^^490325^H01","hatchery_location_code","SIMILKAMEEN HATCHERY",2
"1","2","3F42001^^490325^H01","hatchery_location_code","SIMILKAMEEN HATCHERY",2
"3","2","3F42001^^490325^H01","hatchery_location_code","SIMILKAMEEN HATCHERY",2
"1","2","3F42001^^470052^H01","hatchery_location_code","CHELAN FALLS HATCHERY",2
"1","1","3F42001^^490138^H02","hatchery_location_code","CHIEF JOSEPH HATCHERY",2
"1","2","3F42001^^490138^H02","hatchery_location_code","CHIEF JOSEPH HATCHERY",2
"3","2","3F42001^^360001^H04","hatchery_location_code","RINGOLD SPRINGS HATCHERY",3
"1","3","3F42001^^360001^H04","hatchery_location_code","RINGOLD SPRINGS HATCHERY",3
"2","7","3F42001^^360001^H04","hatchery_location_code","RINGOLD SPRINGS HATCHERY",3
"1","1","3F42001^^360001^H04","hatchery_location_code","RINGOLD SPRINGS HATCHERY",3
"2","3","3F42001^^360001^H04","hatchery_location_code","RINGOLD SPRINGS HATCHERY",3
"1","8","3F42001^^360001^H04","hatchery_location_code","RINGOLD SPRINGS HATCHERY",3
"3","4","3F42001^^360001^H06","hatchery_location_code","MESEBERG HATCHERY",3
"1","3","3F42001^^360126^H","hatchery_location_code","PRIEST RAPIDS HATCHERY",3
"1","1","3F42001^^360126^H","hatchery_location_code","PRIEST RAPIDS HATCHERY",3
"1","8","3F42001^^360126^H","hatchery_location_code","PRIEST RAPIDS HATCHERY",3
"3","2","3F42001^^360126^H","hatchery_location_code","PRIEST RAPIDS HATCHERY",3
"3","2","3F42001^^370002^H","hatchery_location_code","YAKIMA HATCHERY",3
"1","1","3F42001^^370002^H","hatchery_location_code","YAKIMA HATCHERY",3
"2","3","3F42001^^370002^H05","hatchery_location_code","PROSSER HATCHERY",3
"1","3","3F42001^^370002^H05","hatchery_location_code","PROSSER HATCHERY",3
"1","7","3F42001^^370002^H05","hatchery_location_code","PROSSER HATCHERY",3
"2","5","3F42001^^370002^H05","hatchery_location_code","PROSSER HATCHERY",3
"1","8","3F42001^^370002^H05","hatchery_location_code","PROSSER HATCHERY",3
"1","2","3F42001^^370002^H05","hatchery_location_code","PROSSER HATCHERY",3
"1","5","3F42001^^370002^H05","hatchery_location_code","PROSSER HATCHERY",3
"3","2","3F42001^^380003^H02","hatchery_location_code","NACHES HATCHERY",3
"1","1","3F42001^^390002^H30","hatchery_location_code","CLE ELUM HATCHERY",3
"1","1","3F10107^^010120^H","hatchery_location_code","LUMMI HATCHERY -POND",4
"1","3","3F10107^^010120^H","hatchery_location_code","LUMMI HATCHERY -POND",4
"1","3","3F10107^^010156^H","hatchery_location_code","MAMOYA POND HATCHERY",4
"1","1","3F10107^^010273^H","hatchery_location_code","SKOOKUM CR HATCHERY",4
"2","3","3F10107^^010273^H","hatchery_location_code","SKOOKUM CR HATCHERY",4
"1","3","3F10107^^010273^H","hatchery_location_code","SKOOKUM CR HATCHERY",4
"3","4","3F10107^^010273^H","hatchery_location_code","SKOOKUM CR HATCHERY",4
"1","1","3F10107^^010406^H","hatchery_location_code","KENDALL CR HATCHERY",4
"1","3","3F10107^^010406^H","hatchery_location_code","KENDALL CR HATCHERY",4
"3","4","3F10107^^010406^H","hatchery_location_code","KENDALL CR HATCHERY",4
"2","3","3F10107^^010406^H","hatchery_location_code","KENDALL CR HATCHERY",4
"1","2","3F10107^^010406^H","hatchery_location_code","KENDALL CR HATCHERY",4
"1","3","3F10107^^010566^H01","hatchery_location_code","WHATCOM CR HATCHERY",4
"3","4","3F10107^^010566^H01","hatchery_location_code","WHATCOM CR HATCHERY",4
"3","4","3F10107^^010619^H","hatchery_location_code","LK WHATCOM HATCHERY",4
"3","4","3F10107^^010626^H","hatchery_location_code","BELLINGHAM HATCHERY",4
"3","2","3F10107^^010626^H","hatchery_location_code","BELLINGHAM HATCHERY",4
"1","3","3F10107^^030017^H","hatchery_location_code","SAMISH HATCHERY",4
"5","3","3F10208^^030268^H","hatchery_location_code","UPPER SKAGIT HATCHERY",4
"3","4","3F10208^^030268^H","hatchery_location_code","UPPER SKAGIT HATCHERY",4
"5","3","3F10208^^030435^H34","hatchery_location_code","BAKER LK HATCHERY",4
"1","1","3F10208^^031421^H","hatchery_location_code","MARBLEMOUNT HATCHERY",4
"1","3","3F10208^^031421^H","hatchery_location_code","MARBLEMOUNT HATCHERY",4
"3","4","3F10208^^031421^H","hatchery_location_code","MARBLEMOUNT HATCHERY",4
"1","2","3F10208^^031421^H","hatchery_location_code","MARBLEMOUNT HATCHERY",4
"2","3","3F10208^^031421^H","hatchery_location_code","MARBLEMOUNT HATCHERY",4
"2","3","3F10308^^050131^H","hatchery_location_code","HARVEY CR HATCHERY",4
"1","2","3F10308^^050131^H","hatchery_location_code","HARVEY CR HATCHERY",4
"5","3","3F10308^^050131^H","hatchery_location_code","HARVEY CR HATCHERY",4
"3","4","3F10308^^050131^H","hatchery_location_code","HARVEY CR HATCHERY",4
"3","3","3F10308^^050131^H","hatchery_location_code","HARVEY CR HATCHERY",4
"1","3","3F10308^^050131^H","hatchery_location_code","HARVEY CR HATCHERY",4
"3","4","3F10308^^050168^H","hatchery_location_code","ARLINGTON HATCHERY",4
"3","2","3F10308^^050168^H","hatchery_location_code","ARLINGTON HATCHERY",4
"2","3","3F10308^^050170AH","hatchery_location_code","NORTH FORK HATCHERY",4
"2","3","3F10308^^050322^H","hatchery_location_code","JIM CR HATCHERY",4
"1","3","3F10308^^050358AH","hatchery_location_code","BRENNER HATCHERY",4
"1","1","3F10308^^070005^H","hatchery_location_code","BATTLE CR HATCHERY",4
"5","3","3F10308^^070005^H","hatchery_location_code","BATTLE CR HATCHERY",4
"2","3","3F10308^^070005^H","hatchery_location_code","BATTLE CR HATCHERY",4
"3","4","3F10308^^070440^H","hatchery_location_code","TOKUL CR HATCHERY",4
"3","2","3F10308^^070440^H","hatchery_location_code","TOKUL CR HATCHERY",4
"1","5","3F10308^^070943^H","hatchery_location_code","WALLACE R HATCHERY",4
"1","3","3F10308^^070943^H","hatchery_location_code","WALLACE R HATCHERY",4
"1","2","3F10308^^070943^H","hatchery_location_code","WALLACE R HATCHERY",4
"1","1","3F10308^^070943^H","hatchery_location_code","WALLACE R HATCHERY",4
"3","4","3F10308^^070943^H","hatchery_location_code","WALLACE R HATCHERY",4
"3","2","3F10308^^070943^H","hatchery_location_code","WALLACE R HATCHERY",4
"1","3","3F10510^^080028^H","hatchery_location_code","PORTAGE BAY HATCHERY",4
"3","4","3F10510^^080028^H","hatchery_location_code","PORTAGE BAY HATCHERY",4
"2","3","3F10510^^080028^H","hatchery_location_code","PORTAGE BAY HATCHERY",4
"1","3","3F10510^^080028^H02","hatchery_location_code","MONTLAKE HATCHERY",4
"1","3","3F10510^^080178^H","hatchery_location_code","ISSAQUAH HATCHERY",4
"1","5","3F10510^^080178^H","hatchery_location_code","ISSAQUAH HATCHERY",4
"3","4","3F10510^^080178^H","hatchery_location_code","ISSAQUAH HATCHERY",4
"3","4","3F10510^^080299^H02","hatchery_location_code","CEDAR RIVER HATCHERY",4
"1","3","3F10510^^090072^H","hatchery_location_code","SOOS CREEK HATCHERY",4
"1","1","3F10510^^090072^H","hatchery_location_code","SOOS CREEK HATCHERY",4
"3","2","3F10510^^090072^H","hatchery_location_code","SOOS CREEK HATCHERY",4
"3","4","3F10510^^090072^H","hatchery_location_code","SOOS CREEK HATCHERY",4
"1","2","3F10510^^090072^H","hatchery_location_code","SOOS CREEK HATCHERY",4
"1","5","3F10510^^090072^H","hatchery_location_code","SOOS CREEK HATCHERY",4
"3","2","3F10510^^090125^H","hatchery_location_code","ICY CR HATCHERY",4
"1","3","3F10510^^090125^H","hatchery_location_code","ICY CR HATCHERY",4
"3","9","3F10510^^090125^H","hatchery_location_code","ICY CR HATCHERY",4
"3","4","3F10510^^090125^H","hatchery_location_code","ICY CR HATCHERY",4
"1","2","3F10510^^090125^H","hatchery_location_code","ICY CR HATCHERY",4
"1","1","3F10510^^090125^H","hatchery_location_code","ICY CR HATCHERY",4
"3","4","3F10510^^090147^H","hatchery_location_code","PALMER HATCHERY",4
"3","2","3F10510^^090147^H","hatchery_location_code","PALMER HATCHERY",4
"1","3","3F10510^^090147^H","hatchery_location_code","PALMER HATCHERY",4
"5","3","3F10208^^031064^H","hatchery_location_code","SAUK-SUIATTLE HATCHERY",4
"2","3","3F42001^^250131^H","hatchery_location_code","GRAYS RIVER HATCHERY",5
"1","3","3F42001^^250131^H","hatchery_location_code","GRAYS RIVER HATCHERY",5
"3","4","3F42001^^250131^H","hatchery_location_code","GRAYS RIVER HATCHERY",5
"2","7","3F42001^^250131^H","hatchery_location_code","GRAYS RIVER HATCHERY",5
"3","2","3F42001^^250131^H","hatchery_location_code","GRAYS RIVER HATCHERY",5
"1","3","3F42001^^250236^H","hatchery_location_code","ELOCHOMAN HATCHERY",5
"2","7","3F42001^^250236^H","hatchery_location_code","ELOCHOMAN HATCHERY",5
"3","4","3F42001^^250236^H","hatchery_location_code","ELOCHOMAN HATCHERY",5
"2","3","3F42001^^250236^H","hatchery_location_code","ELOCHOMAN HATCHERY",5
"3","2","3F42001^^250236^H","hatchery_location_code","ELOCHOMAN HATCHERY",5
"3","4","3F42001^^250247^H","hatchery_location_code","BEAVER CR HATCHERY",5
"3","2","3F42001^^250247^H","hatchery_location_code","BEAVER CR HATCHERY",5
"2","7","3F42001^^250247^H","hatchery_location_code","BEAVER CR HATCHERY",5
"1","3","3F42001^^250247^H","hatchery_location_code","BEAVER CR HATCHERY",5
"2","3","3F42001^^250247^H","hatchery_location_code","BEAVER CR HATCHERY",5
"3","4","3F42001^^260002^H01","hatchery_location_code","COWLITZ TROUT HATCHERY",5
"3","2","3F42001^^260002^H01","hatchery_location_code","COWLITZ TROUT HATCHERY",5
"3","9","3F42001^^260002^H01","hatchery_location_code","COWLITZ TROUT HATCHERY",5
"1","1","3F42001^^260002^H01","hatchery_location_code","COWLITZ TROUT HATCHERY",5
"2","7","3F42001^^260002^H01","hatchery_location_code","COWLITZ TROUT HATCHERY",5
"1","1","3F42001^^260002^H02","hatchery_location_code","COWLITZ SALMON HATCHERY",5
"1","3","3F42001^^260002^H02","hatchery_location_code","COWLITZ SALMON HATCHERY",5
"2","7","3F42001^^260002^H02","hatchery_location_code","COWLITZ SALMON HATCHERY",5
"3","2","3F42001^^260002^H02","hatchery_location_code","COWLITZ SALMON HATCHERY",5
"3","4","3F42001^^260002^H02","hatchery_location_code","COWLITZ SALMON HATCHERY",5
"2","3","3F42001^^260002^H02","hatchery_location_code","COWLITZ SALMON HATCHERY",5
"1","3","3F42001^^260323^H","hatchery_location_code","NORTH TOUTLE HATCHERY",5
"3","2","3F42001^^260323^H","hatchery_location_code","NORTH TOUTLE HATCHERY",5
"2","3","3F42001^^260323^H","hatchery_location_code","NORTH TOUTLE HATCHERY",5
"1","1","3F42001^^260323^H","hatchery_location_code","NORTH TOUTLE HATCHERY",5
"1","1","3F42001^^270002^H","hatchery_location_code","KALAMA FALLS HATCHERY",5
"2","3","3F42001^^270002^H","hatchery_location_code","KALAMA FALLS HATCHERY",5
"1","3","3F42001^^270002^H","hatchery_location_code","KALAMA FALLS HATCHERY",5
"2","7","3F42001^^270002^H","hatchery_location_code","KALAMA FALLS HATCHERY",5
"3","4","3F42001^^270002^H","hatchery_location_code","KALAMA FALLS HATCHERY",5
"1","2","3F42001^^270002^H","hatchery_location_code","KALAMA FALLS HATCHERY",5
"3","2","3F42001^^270002^H","hatchery_location_code","KALAMA FALLS HATCHERY",5
"3","9","3F42001^^270002^H","hatchery_location_code","KALAMA FALLS HATCHERY",5
"1","3","3F42001^^270017^H","hatchery_location_code","FALLERT CR HATCHERY",5
"1","1","3F42001^^270017^H","hatchery_location_code","FALLERT CR HATCHERY",5
"2","3","3F42001^^270017^H","hatchery_location_code","FALLERT CR HATCHERY",5
"2","7","3F42001^^270017^H","hatchery_location_code","FALLERT CR HATCHERY",5
"3","2","3F42001^^270017^H","hatchery_location_code","FALLERT CR HATCHERY",5
"3","4","3F42001^^270017^H","hatchery_location_code","FALLERT CR HATCHERY",5
"1","1","3F42001^^270168^H","hatchery_location_code","LEWIS RIVER HATCHERY",5
"2","3","3F42001^^270168^H","hatchery_location_code","LEWIS RIVER HATCHERY",5
"2","7","3F42001^^270168^H","hatchery_location_code","LEWIS RIVER HATCHERY",5
"1","3","3F42001^^270168^H","hatchery_location_code","LEWIS RIVER HATCHERY",5
"3","2","3F42001^^270168^H","hatchery_location_code","LEWIS RIVER HATCHERY",5
"3","4","3F42001^^270168^H","hatchery_location_code","LEWIS RIVER HATCHERY",5
"3","4","3F42001^^270168^H02","hatchery_location_code","MERWIN HATCHERY",5
"3","2","3F42001^^270168^H02","hatchery_location_code","MERWIN HATCHERY",5
"3","9","3F42001^^270168^H02","hatchery_location_code","MERWIN HATCHERY",5
"2","3","3F42001^^270430^H","hatchery_location_code","SPEELYAI HATCHERY",5
"1","1","3F42001^^270430^H","hatchery_location_code","SPEELYAI HATCHERY",5
"2","7","3F42001^^270430^H","hatchery_location_code","SPEELYAI HATCHERY",5
"1","3","3F42001^^270430^H","hatchery_location_code","SPEELYAI HATCHERY",5
"3","4","3F42001^^270430^H","hatchery_location_code","SPEELYAI HATCHERY",5
"3","2","3F42001^^270430^H","hatchery_location_code","SPEELYAI HATCHERY",5
"3","2","3F42001^^280001^H01","hatchery_location_code","VANCOUVER HATCHERY",5
"3","4","3F42001^^280001^H01","hatchery_location_code","VANCOUVER HATCHERY",5
"1","3","3F42001^^280159^H","hatchery_location_code","WASHOUGAL HATCHERY",5
"2","7","3F42001^^280159^H","hatchery_location_code","WASHOUGAL HATCHERY",5
"2","3","3F42001^^280159^H","hatchery_location_code","WASHOUGAL HATCHERY",5
"3","2","3F42001^^280159^H","hatchery_location_code","WASHOUGAL HATCHERY",5
"3","4","3F42001^^280159^H","hatchery_location_code","WASHOUGAL HATCHERY",5
"3","4","3F42001^^280200^H","hatchery_location_code","SKAMANIA HATCHERY",5
"3","2","3F42001^^280200^H","hatchery_location_code","SKAMANIA HATCHERY",5
"3","9","3F42001^^280200^H","hatchery_location_code","SKAMANIA HATCHERY",5
"1","3","3F42001^^300002^H","hatchery_location_code","KLICKITAT HATCHERY (YKFP)",5
"1","1","3F42001^^300002^H","hatchery_location_code","KLICKITAT HATCHERY (YKFP)",5
"2","7","3F42001^^300002^H","hatchery_location_code","KLICKITAT HATCHERY (YKFP)",5
"2","3","3F42001^^300002^H","hatchery_location_code","KLICKITAT HATCHERY (YKFP)",5
"1","8","3F42001^^300002^H","hatchery_location_code","KLICKITAT HATCHERY (YKFP)",5
"1","2","3F42001^^300002^H","hatchery_location_code","KLICKITAT HATCHERY (YKFP)",5
"2","7","3F42001^^300002^H01","hatchery_location_code","KLICKITAT HATCHERY",5
"1","3","3F42001^^300002^H01","hatchery_location_code","KLICKITAT HATCHERY",5
"1","1","3F42001^^300002^H01","hatchery_location_code","KLICKITAT HATCHERY",5
"1","8","3F42001^^300002^H01","hatchery_location_code","KLICKITAT HATCHERY",5
"3","2","3F42001^^300106^H","hatchery_location_code","GOLDENDALE HATCHERY",5
"3","4","3F42001^^300106^H","hatchery_location_code","GOLDENDALE HATCHERY",5
