"species","run","location_code","loc_col","name","region"
"1","3","3F10412^^150389^H","hatchery_location_code","BIG BEEF CR HATCHERY",6
"1","1","3F10412^^150389^H","hatchery_location_code","BIG BEEF CR HATCHERY",6
"1","3","3F10412^^160005^H","hatchery_location_code","GEORGE ADAMS HATCHERY",6
"1","7","3F10412^^160005^H","hatchery_location_code","GEORGE ADAMS HATCHERY",6
"1","1","3F10412^^160005^H","hatchery_location_code","GEORGE ADAMS HATCHERY",6
"3","4","3F10412^^160005^H","hatchery_location_code","GEORGE ADAMS HATCHERY",6
"1","3","3F10412^^160006^H","hatchery_location_code","MCKERNAN HATCHERY",6
"1","7","3F10412^^160006^H","hatchery_location_code","MCKERNAN HATCHERY",6
"5","3","3F10412^^160006^H","hatchery_location_code","MCKERNAN HATCHERY",6
"5","3","3F10412^^160217^H","hatchery_location_code","ENETAI HATCHERY",6
"1","3","3F10412^^160217^H","hatchery_location_code","ENETAI HATCHERY",6
"3","4","3F10412^^160217^H","hatchery_location_code","ENETAI HATCHERY",6
"1","2","3F10412^^160217^H","hatchery_location_code","ENETAI HATCHERY",6
"1","3","3F10412^^160222^H","hatchery_location_code","HOODSPORT HATCHERY",6
"3","4","3F10412^^160222^H","hatchery_location_code","HOODSPORT HATCHERY",6
"5","3","3F10412^^160222^H","hatchery_location_code","HOODSPORT HATCHERY",6
"1","1","3F10412^^160222^H","hatchery_location_code","HOODSPORT HATCHERY",6
"1","5","3F10412^^160222^H","hatchery_location_code","HOODSPORT HATCHERY",6
"1","3","3F10510^^150249^H","hatchery_location_code","CLEAR CR HATCHERY-15",6
"2","3","3F10510^^150249^H","hatchery_location_code","CLEAR CR HATCHERY-15",6
"1","3","3F10510^^150285^H","hatchery_location_code","WEBSTER'S HATCHERY",6
"2","3","3F10510^^150285^H","hatchery_location_code","WEBSTER'S HATCHERY",6
"5","3","3F10510^^150285^H","hatchery_location_code","WEBSTER'S HATCHERY",6
"5","3","3F10510^^150298^H","hatchery_location_code","COWLING CR HATCHERY",6
"1","3","3F10510^^150299^H","hatchery_location_code","GROVERS CR HATCHERY",6
"5","3","3F10510^^150299^H","hatchery_location_code","GROVERS CR HATCHERY",6
"2","3","3F10510^^150299^H","hatchery_location_code","GROVERS CR HATCHERY",6
"3","4","3F10510^^150299^H","hatchery_location_code","GROVERS CR HATCHERY",6
"3","4","3F10511^^100027^H","hatchery_location_code","PUYALLUP HATCHERY",6
"1","3","3F10511^^100027^H","hatchery_location_code","PUYALLUP HATCHERY",6
"1","3","3F10511^^100027^H01","hatchery_location_code","CLARKS CRK HATCHERY",6
"1","1","3F10511^^100027^H01","hatchery_location_code","CLARKS CRK HATCHERY",6
"5","3","3F10511^^100027^H01","hatchery_location_code","CLARKS CRK HATCHERY",6
"2","3","3F10511^^100027^H01","hatchery_location_code","CLARKS CRK HATCHERY",6
"5","3","3F10511^^100029^H","hatchery_location_code","PUYALLUP TRIBAL HATCHERY",6
"1","3","3F10511^^100029^H","hatchery_location_code","PUYALLUP TRIBAL HATCHERY",6
"3","4","3F10511^^100029^H","hatchery_location_code","PUYALLUP TRIBAL HATCHERY",6
"5","4","3F10511^^100029^H","hatchery_location_code","PUYALLUP TRIBAL HATCHERY",6
"1","1","3F10511^^100029^H","hatchery_location_code","PUYALLUP TRIBAL HATCHERY",6
"3","3","3F10511^^100029^H","hatchery_location_code","PUYALLUP TRIBAL HATCHERY",6
"2","3","3F10511^^100029^H","hatchery_location_code","PUYALLUP TRIBAL HATCHERY",6
"1","1","3F10511^^100031^H01","hatchery_location_code","WHITE RIVER HATCHERY",6
"3","4","3F10511^^100031^H01","hatchery_location_code","WHITE RIVER HATCHERY",6
"1","3","3F10511^^100414^H","hatchery_location_code","VOIGHTS CR HATCHERY",6
"3","4","3F10511^^100414^H","hatchery_location_code","VOIGHTS CR HATCHERY",6
"2","3","3F10511^^100414^H","hatchery_location_code","VOIGHTS CR HATCHERY",6
"1","5","3F10511^^100414^H","hatchery_location_code","VOIGHTS CR HATCHERY",6
"1","1","3F10511^^100414^H","hatchery_location_code","VOIGHTS CR HATCHERY",6
"1","3","3F10513^^110013CH","hatchery_location_code","CLEAR CREEK HATCHERY",6
"2","3","3F10513^^110013CH","hatchery_location_code","CLEAR CREEK HATCHERY",6
"5","4","3F10513^^110017AH","hatchery_location_code","KALAMA CR HATCHERY",6
"1","3","3F10513^^110017AH","hatchery_location_code","KALAMA CR HATCHERY",6
"2","3","3F10513^^110017AH","hatchery_location_code","KALAMA CR HATCHERY",6
"1","3","3F10513^^110324^H","hatchery_location_code","MCALLISTER HATCHERY",6
"1","3","3F10513^^120007^H01","hatchery_location_code","GARRISON HATCHERY",6
"1","1","3F10513^^120007^H01","hatchery_location_code","GARRISON HATCHERY",6
"5","7","3F10513^^120007^H01","hatchery_location_code","GARRISON HATCHERY",6
"3","4","3F10513^^120007^H01","hatchery_location_code","GARRISON HATCHERY",6
"1","3","3F10513^^120007^H02","hatchery_location_code","CHAMBERS CR HATCHERY",6
"3","4","3F10513^^120007^H02","hatchery_location_code","CHAMBERS CR HATCHERY",6
"3","4","3F10513^^120007^H03","hatchery_location_code","LAKEWOOD HATCHERY",6
"3","2","3F10513^^120007^H03","hatchery_location_code","LAKEWOOD HATCHERY",6
"1","3","3F10513^^120007^H03","hatchery_location_code","LAKEWOOD HATCHERY",6
"3","4","3F10513^^130028^H02","hatchery_location_code","TUMWATER FALLS HATCHERY",6
