"","species","run","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","recovery_location_code","fishery","fishery_name","fishery_short_name","event_released","number_cwt_estimated","fate","sar","tags_lost"
"1","1","1",2015,"3F42001^^270168^R01","3F42001^^270430^H",10,279,30,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",47223,1.29,"fishery",2.73171971285179e-05,47221.71
"2","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",37336,1.23,"fishery",3.29440754231841e-05,37334.77
"3","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",64495,8.19,"fishery",0.000126986588107605,64486.81
"4","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",73845,4.41,"fishery",5.97196831200488e-05,73840.59
"5","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",94395,6.08,"fishery",6.44101912177552e-05,94388.92
"6","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",35077,6.4,"fishery",0.00018245574022864,35070.6
"7","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",71240,7.18,"fishery",0.00010078607523863,71232.82
"8","1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",145964,4.11,"fishery",2.81576279082513e-05,145959.89
"9","1","1",2020,"3F42001^^270168^R","3F42001^^270168^H",10,274,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",37378,1.99,"fishery",5.32398737225106e-05,37376.01
"10","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",50777,1.7,"fishery",3.34797250723753e-05,50775.3
"11","1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",99317,5.35,"fishery",5.38679178791144e-05,99311.65
"12","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",10,290,40,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",75642,2.46,"fishery",3.25216149758071e-05,75639.54
"13","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,50,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",32308,2.41,"fishery",7.4594527671165e-05,32305.59
"14","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","5F33207^^R7^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",33407,2.06,"fishery",6.16637231717904e-05,33404.94
"15","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","5F33209^^R3^^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",51109,1.64,"fishery",3.20882819072962e-05,51107.36
"16","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",94395,4.27,"fishery",4.52354467927327e-05,94390.73
"17","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",35585,1.88,"fishery",5.2831249121821e-05,35583.12
"18","1","1",2020,"3F42001^^270168^R","3F42001^^270168^H",10,274,40,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",37378,3,"fishery",8.02611161645888e-05,37375
"19","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",51109,1.08,"fishery",2.11313075974877e-05,51107.92
"20","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",32997,1.4,"fishery",4.24280995241992e-05,32995.6
"21","1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",99317,1.17,"fishery",1.17804605455259e-05,99315.83
"22","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",10,290,40,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",37909,2.27,"fishery",5.98802395209581e-05,37906.73
"23","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,50,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",73889,9.41,"fishery",0.000127353191950087,73879.59
"24","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,50,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",34339,2.5,"fishery",7.28035178659833e-05,34336.5
"25","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",33878,1.95,"fishery",5.75594781273983e-05,33876.05
"26","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,60,"smolt","5F33271^^R71^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",31832,1.5,"fishery",4.7122392560945e-05,31830.5
"27","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","5F33274^^R74^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",33193,1.43,"fishery",4.30813725785557e-05,33191.57
"28","1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt","5F33274^^R74^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",99317,1.95,"fishery",1.96341009092099e-05,99315.05
"29","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","5F33274^^R74^^^^13","21","Columbia River Gillnet","Columbia River Gillnet",33407,2.53,"fishery",7.57326308857425e-05,33404.47
"30","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","5F33203^^R103^^^12","44","Columbia River Sport","Columbia River Sport",25220,4.1,"fishery",0.000162569389373513,25215.9
"31","1","1",2015,"3F42001^^270168^R01","3F42001^^270430^H",10,279,30,"smolt","5F33203^^R104^^^12","44","Columbia River Sport","Columbia River Sport",47223,3.03,"fishery",6.41636490693094e-05,47219.97
"32","1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H",10,275,40,"smolt","5F33203^^R104^^^12","44","Columbia River Sport","Columbia River Sport",61322,2.66,"fishery",4.33775806399009e-05,61319.34
"33","1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H",10,275,40,"smolt","5F33203^^R106^^^12","44","Columbia River Sport","Columbia River Sport",61322,6.43,"fishery",0.000104856332148332,61315.57
"34","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,50,"smolt","5F33203^^R106^^^12","44","Columbia River Sport","Columbia River Sport",36983,4.07,"fishery",0.000110050563772544,36978.93
"35","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,40,"smolt","5F33203^^R109^^^12","44","Columbia River Sport","Columbia River Sport",36749,7.64,"fishery",0.000207896813518735,36741.36
"36","1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt","5F33203^^R110^^^12","44","Columbia River Sport","Columbia River Sport",73182,4.1,"fishery",5.60247055286819e-05,73177.9
"37","1","1",2017,"3F42001^^270168^R01","3F42001^^270168^H",10,290,40,"smolt","5F33203^^R110^^^12","44","Columbia River Sport","Columbia River Sport",37733,5.01,"fishery",0.000132775024514351,37727.99
"38","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","5F33203^^R110^^^12","44","Columbia River Sport","Columbia River Sport",33878,4.07,"fishery",0.000120136962040262,33873.93
"39","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,60,"smolt","5F33203^^R110^^^12","44","Columbia River Sport","Columbia River Sport",34049,3.84,"fishery",0.000112778642544568,34045.16
"40","1","1",2015,"3F42001^^270168^R01","3F42001^^270430^H",10,279,30,"smolt","5F33203^^R203^^^12","44","Columbia River Sport","Columbia River Sport",47223,2.66,"fishery",5.632848400144e-05,47220.34
"41","1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt","5F33203^^R203^^^12","44","Columbia River Sport","Columbia River Sport",99317,1.01,"fishery",1.0169457394001e-05,99315.99
"42","1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt","5F33203^^R204^^^12","44","Columbia River Sport","Columbia River Sport",73182,3.66,"fishery",5.00122981060917e-05,73178.34
"43","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","5F33203^^R204^^^12","44","Columbia River Sport","Columbia River Sport",51109,4.68,"fishery",9.15689995891135e-05,51104.32
"44","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",10,285,40,"smolt","5F33203^^R204^^^12","44","Columbia River Sport","Columbia River Sport",36311,6.41,"fishery",0.000176530527939192,36304.59
"45","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","5F33203^^R205^^^12","44","Columbia River Sport","Columbia River Sport",35655,5.96,"fishery",0.000167157481419156,35649.04
"46","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","5F33203^^R209^^^12","44","Columbia River Sport","Columbia River Sport",35655,5.69,"fishery",0.000159584910952181,35649.31
"47","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,50,"smolt","5F33203^^R209^^^12","44","Columbia River Sport","Columbia River Sport",36983,8.58,"fishery",0.000231998485790769,36974.42
"48","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","5F33203^^R209^^^12","44","Columbia River Sport","Columbia River Sport",25220,4.68,"fishery",0.000185567010309278,25215.32
"49","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,60,"smolt","1M1SWSASO","25","Commercial Seine","Commercial Seine",34049,2.79,"fishery",8.19407324737878e-05,34046.21
"50","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","1M4KD","25","Commercial Seine","Commercial Seine",25220,0,"fishery",0,25220
"51","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","3F42001^^270339^R","52","Fish Trap (freshwater)","Fish Trap (freshwater)",34886,1,"hatchery",2.86647939001319e-05,34885
"52","1","1",2020,"3F42001^^270168^R","3F42001^^270168^H",10,274,40,"smolt","3F42001^^270339^R","52","Fish Trap (freshwater)","Fish Trap (freshwater)",75705,8,"hatchery",0.000105673337296083,75697
"53","1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt","3F42001^^270339^R","52","Fish Trap (freshwater)","Fish Trap (freshwater)",99317,1,"hatchery",1.00687696970307e-05,99316
"54","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",10,285,40,"smolt","3F42001^^270339^R","52","Fish Trap (freshwater)","Fish Trap (freshwater)",36065,3,"hatchery",8.31831415499792e-05,36062
"55","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,50,"smolt","3F42001^^270339^R","52","Fish Trap (freshwater)","Fish Trap (freshwater)",36983,1,"hatchery",2.70394505583647e-05,36982
"56","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,50,"smolt","3F42001^^270339^R","52","Fish Trap (freshwater)","Fish Trap (freshwater)",33995,1,"hatchery",2.94160906015591e-05,33994
"57","1","1",2020,"3F42001^^270168^R01","3F42001^^270168^H",2,33,60,"smolt","3F42001^^270339^R","52","Fish Trap (freshwater)","Fish Trap (freshwater)",31832,1,"hatchery",3.14149283739633e-05,31831
"58","1","1",2020,"3F42001^^270168^R","3F42001^^270168^H",10,274,40,"smolt","3F42001^^270339^R10","52","Fish Trap (freshwater)","Fish Trap (freshwater)",38327,1,"hatchery",2.60912672528505e-05,38326
"59","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","3F42001^^270339^R10","52","Fish Trap (freshwater)","Fish Trap (freshwater)",32997,1,"hatchery",3.0305785374428e-05,32996
"60","1","1",2019,"3F42001^^270168^R01","3F42001^^270168^H",2,34,50,"smolt","3F42001^^270339^R10","52","Fish Trap (freshwater)","Fish Trap (freshwater)",33995,1,"hatchery",2.94160906015591e-05,33994
"61","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","3F42001^^260002^R","46","Freshwater Sport","Freshwater Sport",51109,6.35,"fishery",0.000124244262263007,51102.65
"62","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","3F42001^^270002^R","46","Freshwater Sport","Freshwater Sport",35655,7.79,"fishery",0.000218482681250876,35647.21
"63","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt","3F42001^^270002^R","46","Freshwater Sport","Freshwater Sport",25220,31.45,"fishery",0.00124702616970658,25188.55
"64","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt","3F42001^^270168^R01","46","Freshwater Sport","Freshwater Sport",32259,52,"fishery",0.00161195325335565,32207
"65","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","3F42001^^270168^R01","46","Freshwater Sport","Freshwater Sport",35655,5.38,"fishery",0.000150890478193802,35649.62
"66","1","1",2012,"3F42001^^270168^R01","3F42001^^270168^H",3,62,40,"smolt","3F42001^^270168^R01","46","Freshwater Sport","Freshwater Sport",42111,19.45,"fishery",0.000461874569589893,42091.55
"67","1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt","3F42001^^270168^R01","46","Freshwater Sport","Freshwater Sport",73182,29.55,"fishery",0.000403787816676232,73152.45
