"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",2014,"3","3F42001^^260002^R","3F42001^^260002^H02",5,131,10,"smolt",201010,13.89,6.91010397492662e-05,200996.11
"2","1",2000,"3","3F42001^^260002^R","3F42001^^260002^H02",5,143,10,"smolt",4202604,111.76,2.6593036127125e-05,4202492.24
"3","1",2014,"3","3F42001^^260002^R","3F42001^^260002^H02",5,147,10,"smolt",21675058,397.13,1.83219809607891e-05,21674660.87
"4","1",2015,"3","3F42001^^260002^R","3F42001^^260002^H02",5,147,10,"smolt",252972,20.16,7.96926142023623e-05,252951.84
"5","1",2021,"3","3F42001^^260002^R","3F42001^^260002^H02",5,151,10,"smolt",331647,84.77,0.000255603096062983,331562.23
"6","1",2010,"3","3F42001^^260002^R","3F42001^^260002^H02",6,152,10,"smolt",8959984,868.75,9.69588784979973e-05,8959115.25
"7","1",2017,"3","3F42001^^260002^R","3F42001^^260002^H02",6,152,10,"smolt",54846250,1876.28,3.42098137976616e-05,54844373.72
"8","1",2002,"3","3F42001^^260002^R","3F42001^^260002^H02",6,153,10,"smolt",3002010,90.88,3.02730503895723e-05,3001919.12
"9","1",2018,"3","3F42001^^260002^R","3F42001^^260002^H02",6,154,10,"smolt",32169287,817.99,2.54276695656948e-05,32168469.01
"10","1",2008,"3","3F42001^^260002^R","3F42001^^260002^H02",6,155,10,"smolt",5435829,571.24,0.000105087926790927,5435257.76
"11","1",2017,"3","3F42001^^260002^R","3F42001^^260002^H02",6,155,10,"smolt",806432,113.53,0.00014078062378477,806318.47
"12","1",2019,"3","3F42001^^260002^R","3F42001^^260002^H02",6,155,10,"smolt",664616,97.76,0.000147092456395874,664518.24
"13","1",2001,"3","3F42001^^260002^R","3F42001^^260002^H02",6,156,10,"smolt",7130888,288.4,4.04437708178841e-05,7130599.6
"14","1",2017,"1","3F42001^^260002^R","3F42001^^260002^H02",6,157,10,"smolt",60002,16.45,0.000274157528082397,59985.55
"15","1",2003,"3","3F42001^^260002^R","3F42001^^260002^H02",6,158,10,"smolt",2978235,108.99,3.65955003550761e-05,2978126.01
"16","1",2020,"3","3F42001^^260002^R","3F42001^^260002^H02",6,158,10,"smolt",195922,70.94,0.000362082869713457,195851.06
"17","1",2011,"3","3F42001^^260002^R","3F42001^^260002^H02",6,159,10,"smolt",4421252,153.27,3.46666509848342e-05,4421098.73
"18","1",2009,"3","3F42001^^260002^R","3F42001^^260002^H02",6,161,10,"smolt",6517665,505.42,7.7546176429749e-05,6517159.58
"19","1",2012,"3","3F42001^^260002^R","3F42001^^260002^H02",6,161,10,"smolt",7404847,377.66,5.10017290026384e-05,7404469.34
"20","1",2013,"3","3F42001^^260002^R","3F42001^^260002^H02",6,164,10,"smolt",10944320,463.4,4.23415981988831e-05,10943856.6
"21","1",2016,"3","3F42001^^260002^R","3F42001^^260002^H02",6,164,10,"smolt",202714,15.01,7.40452065471551e-05,202698.99
"22","1",2004,"3","3F42001^^260002^R","3F42001^^260002^H02",6,166,10,"smolt",1557872,65.74,4.21985888442696e-05,1557806.26
"23","1",2015,"3","3F42001^^260002^R","3F42001^^260002^H02",6,167,10,"smolt",29511621,403.73,1.36803735721599e-05,29511217.27
"24","1",2005,"3","3F42001^^260002^R","3F42001^^260002^H02",6,170,10,"smolt",4816152,263.04,5.46162164317073e-05,4815888.96
"25","1",2006,"3","3F42001^^260002^R","3F42001^^260002^H02",6,170,10,"smolt",6265534,460.66,7.35228633345538e-05,6265073.34
"26","1",2007,"3","3F42001^^260002^R","3F42001^^260002^H02",6,170,10,"smolt",9132885,1458.91,0.000159742512908024,9131426.09
"27","1",2016,"3","3F42001^^260002^R","3F42001^^260002^H02",6,171,10,"smolt",39824560,910.5,2.28627761361331e-05,39823649.5
