"","species","brood_year","run","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","event_released","number_cwt_estimated","sar","tags_lost"
"1","1",2015,"1","3F42001^^270168^R01","3F42001^^270430^H",10,279,30,"smolt",471117,72.67,0.000154250430360187,471044.33
"2","1",2017,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt",186530,68.15,0.000365356779070391,186461.85
"3","1",2021,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,40,"smolt",322498,261.81,0.000811818988024732,322236.19
"4","1",2020,"1","3F42001^^270168^R01","3F42001^^270168^H",2,33,40,"smolt",332129,126.88,0.000382020239123955,332002.12
"5","1",2012,"1","3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt",221612,29.05,0.000131084959298233,221582.95
"6","1",2013,"1","3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt",755529,358.01,0.000473853419259883,755170.99
"7","1",2019,"1","3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt",489550,156.16,0.000318986824634869,489393.84
"8","1",2018,"1","3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt",855160,434.81,0.000508454558211329,854725.19
"9","1",2012,"1","3F42001^^270168^R01","3F42001^^270168^H",3,62,40,"smolt",210677,62.88,0.000298466372693744,210614.12
"10","1",2014,"1","3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt",1534422,476.86,0.000310775001922548,1533945.14
"11","1",2020,"1","3F42001^^270168^R","3F42001^^270168^H",10,274,40,"smolt",643018,229.65,0.000357143967976013,642788.35
"12","1",2013,"1","3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt",611980,161.93,0.00026460015033171,611818.07
"13","1",2018,"1","3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt",363751,179.74,0.000494129225761579,363571.26
"14","1",2015,"1","3F42001^^270168^R01","3F42001^^270168^H",10,275,40,"smolt",491066,94.73,0.000192906859770377,490971.27
"15","1",2016,"1","3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt",2808051,1355.85,0.000482843794503732,2806695.15
"16","1",2021,"1","3F42001^^270168^R01","3F42001^^270168^H",10,285,40,"smolt",434502,152.53,0.000351045564807527,434349.47
"17","1",2017,"1","3F42001^^270168^R01","3F42001^^270168^H",10,290,40,"smolt",491409,264.96,0.000539184264024468,491144.04
"18","1",2019,"1","3F42001^^270168^R01","3F42001^^270168^H",10,295,40,"smolt",371485,114.37,0.000307872457838136,371370.63
"19","1",2021,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,50,"smolt",258335,130.79,0.00050628060464126,258204.21
"20","1",2020,"1","3F42001^^270168^R01","3F42001^^270168^H",2,33,50,"smolt",480471,224.69,0.000467645289726123,480246.31
"21","1",2019,"1","3F42001^^270168^R01","3F42001^^270168^H",2,34,50,"smolt",621474,243.54,0.000391874800876626,621230.46
"22","1",2013,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt",302532,125.73,0.000415592400142795,302406.27
"23","1",2014,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt",465048,53.96,0.000116031033355697,464994.04
"24","1",2017,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt",301148,125.69,0.000417369532588628,301022.31
"25","1",2021,"1","3F42001^^270168^R01","3F42001^^270168^H",2,32,60,"smolt",370774,199.13,0.000537065705793826,370574.87
"26","1",2020,"1","3F42001^^270168^R01","3F42001^^270168^H",2,33,60,"smolt",254332,98.02,0.000385401758331629,254233.98
"27","1",2012,"1","3F42001^^270168^R01","3F42001^^270168^H",2,34,60,"smolt",89233,4.01,4.49385317091211e-05,89228.99
"28","1",2018,"1","3F42001^^270168^R01","3F42001^^270168^H",2,42,60,"smolt",687558,445.62,0.000648119867705706,687112.38
